𓀀	13000	A1	
𓀁	13001	A2	
𓀂	13002	A3	
𓀃	13003	A4	
𓀄	13004	A5	
𓀅	13005	A5a	
𓀆	13006	A6	
𓀉	13009	A7	
𓀊	1300a	A8	
𓀋	1300b	A9	
𓀌	1300c	A10	
𓀍	1300d	A11	
𓀎	1300e	mSa A12	
𓀏	1300f	A13	
𓀐	13010	A14	
𓀑	13011	A14a	
𓀒	13012	xr A15	
𓀓	13013	A16	
𓀔	13014	Xrd A17	
𓀕	13015	A17a	
𓀖	13016	A18	
𓀗	13017	A19	
𓀘	13018	A20	
𓀙	13019	sr A21	
𓀚	1301a	A22	
𓀛	1301b	A23	
𓀜	1301c	A24	
𓀝	1301d	A25	
𓀞	1301e	A26	
𓀟	1301f	A27	
𓀠	13020	A28	
𓀡	13021	A29	
𓀢	13022	A30	
𓀣	13023	A31	
𓀤	13024	A32	
𓀥	13025	A32a	
𓀦	13026	mniw A33	
𓀧	13027	A34	
𓀨	13028	A35	
𓀩	13029	A36	
𓀪	1302a	A37	
𓀫	1302b	qiz A38	
𓀬	1302c	A39	
𓀭	1302d	A40	
𓀮	1302e	A40a	
𓀯	1302f	A41	
𓀰	13030	A42	
𓀱	13031	A42b	
𓀲	13032	A43	
𓀳	13033	A43d	
𓀴	13034	A44	
𓀵	13035	A45	
𓀶	13036	A45c	
𓀷	13037	A46	
𓀸	13038	iry A47	
𓀹	13039	A48	
𓀺	1303a	A49	
𓀻	1303b	Sps A50	
𓀼	1303c	Spsi A51	
𓀽	1303d	A52	
𓀾	1303e	A53	
𓀿	1303f	A54	
𓁀	13040	A55	
𓁁	13041	A56	
𓁂	13042	A57	
𓁃	13043	A58	
𓁄	13044	A59	
𓁅	13045	A60	
𓁆	13046	A61	
𓁇	13047	A62	
𓁈	13048	A63	
𓁉	13049	A64	
𓁊	1304a	A65	
𓁋	1304b	A66	
𓁌	1304c	A67	
𓁍	1304d	A68	
𓁎	1304e	A69	
𓁏	1304f	A70	
𓁐	13050	B1	
𓁑	13051	B2	
𓁒	13052	msi B3	
𓁓	13053	B4	
𓁔	13054	B5	
𓁖	13056	B6	
𓁗	13057	B7	
𓁘	13058	B8	
𓁙	13059	B47	
𓁚	1305a	C1	
𓁛	1305b	C2	
𓁜	1305c	C2a	
𓁝	1305d	C2A\	
𓁞	1305e	C2\	
𓁟	1305f	DHwty C3	
𓁠	13060	Xnmw C4	
𓁡	13061	C5	
𓁢	13062	inpw C6	
𓁣	13063	stX C7	
𓁤	13064	mnw C8	
𓁥	13065	C9	
𓁦	13066	mAat C10	
𓁧	13067	C10a	
𓁨	13068	HH C11	
𓁩	13069	C12	
𓁪	1306a	C13	
𓁫	1306b	C14	
𓁬	1306c	C15	
𓁭	1306d	C16	
𓁮	1306e	C17	
𓁯	1306f	C18	
𓁰	13070	C19	
𓁱	13071	C20	
𓁲	13072	C21	
𓁳	13073	C22	
𓁴	13074	C23	
𓁵	13075	C24	
𓁶	13076	tp D1	
𓁷	13077	Hr D2	
𓁸	13078	Sny D3	
𓁹	13079	ir D4	
𓁺	1307a	D5	
𓁻	1307b	D6	
𓁼	1307c	D7	
𓁽	1307d	D8	
𓁾	1307e	D8a	
𓁿	1307f	rmi D9	
𓂀	13080	wDAt D10	
𓂁	13081	D11	
𓂂	13082	D12	
𓂃	13083	D13	
𓂄	13084	D14	
𓂅	13085	D15	
𓂆	13086	D16	
𓂇	13087	D17	
𓂈	13088	D18	
𓂉	13089	fnD D19	
𓂊	1308a	D20	
𓂋	1308b	r rA D21	
𓂌	1308c	D22	
𓂍	1308d	D23	
𓂎	1308e	spt D24	
𓂏	1308f	spty D25	
𓂐	13090	D26	
𓂑	13091	mnD D27	
𓂒	13092	D27a	
𓂓	13093	kA D28	
𓂔	13094	D29	
𓂕	13095	D30	
𓂖	13096	D31	
𓂗	13097	U36:D28	
𓂘	13098	D32	
𓂙	13099	D33	
𓂚	1309a	aHA D34	
𓂛	1309b	D34a	
𓂜	1309c	D35	
𓂝	1309d	a D36	
𓂞	1309e	D37	
𓂟	1309f	D38	
𓂠	130a0	D39	
𓂡	130a1	D40	
𓂢	130a2	D41	
𓂣	130a3	D42	
𓂤	130a4	D43	
𓂥	130a5	D44	
𓂦	130a6	Dsr D45	
𓂧	130a7	d D46	
𓂨	130a8	D46a	
𓂩	130a9	D47	
𓂪	130aa	D48	
𓂬	130ac	D49	
𓂭	130ad	Dba D50	
𓂮	130ae	D50-D50	
𓂯	130af	D50-D50-D50	
𓂰	130b0	D50-D50-D50-D50	
𓂱	130b1	D50*D50*D50:D50*D50	
𓂲	130b2	D50*D50*D50:D50*D50*D50	
𓂳	130b3	D50*D50*D50*D50:D50*D50*D50	
𓂴	130b4	D50*D50*D50*D50:D50*D50*D50*D50	
𓂵	130b5	D50*D50*D50:D50*D50*D50:D50*D50*D50	
𓂶	130b6	D50-D50-D50-D50-D50	
𓂷	130b7	D51	
𓂸	130b8	mt D52	
