ꚠ,a
ꚡ,ka
ꚢ,u
ꚣ,ku
ꚤ,e
ꚥ,re
ꚦ,tə
ꚧ,ɔ
ꚨ,nyi
ꚩ,i
ꚪ,la
ꚫ,pa
ꚬ,rii
ꚭ,rie
ꚮ,lee
ꚯ,mee
ꚰ,taa
ꚱ,ndaa
ꚲ,nʒəm
ꚳ,m
ꚴ,suu
ꚵ,mu
ꚶ,ʃii
ꚷ,si
ꚸ,ʃɯx
ꚹ,sɯx
ꚺ,kye
ꚻ,kɛt
ꚼ,nuə
ꚽ,nu
ꚾ,nʒuə
ꚿ,yɔʔ
ꛀ,ʃu
ꛁ,yuʔ
ꛂ,ya
ꛃ,nʃa
ꛄ,kɯx
ꛅ,pɯx
ꛆ,nʒe
ꛇ,nte
ꛈ,pü
ꛉ,wü
ꛊ,pe
ꛋ,fe
ꛌ,ru
ꛍ,lu
ꛎ,mi
ꛏ,ni
ꛐ,rɯx
ꛑ,rə
ꛒ,kɛn
ꛓ,ŋkwən
ꛔ,ŋga
ꛕ,ŋa
ꛖ,ʃɔ
ꛗ,puə
ꛘ,fu
ꛙ,fɔm
ꛚ,wa
ꛛ,na
ꛜ,li
ꛝ,pi
ꛞ,lɔʔ
ꛟ,kɔ
ꛠ,mbɛn
ꛡ,rɛn
ꛢ,mɛn
ꛣ,ma
ꛤ,ti
ꛥ,ki
𖠀,ŋkü mfɔn
𖠁,gbie fɔn
𖠂,pɔn mfɔn pipəmgbie
𖠃,pɔn mfɔn pipəmba
𖠄,naa mfɔn
𖠅,ʃünʃüt
𖠆,tita mfɔn
𖠇,nza mfɔn
𖠈,ʃinda pa nʒi
𖠉,pɔn pa nʒi pipəmgbie
𖠊,pɔn pa nʒi pipəmba
𖠋,məmgbie
𖠌,tu məmba
𖠍,ŋaŋu
𖠎,məmvɯx
𖠏,mansuə
𖠐,mvɯəŋam
𖠑,sɯnyam
𖠒,ntɔʔpɛn
𖠓,kɯkɯtnda
𖠔,nkindi
𖠕,suu
𖠖,ŋkünzɯm
𖠗,lapaʔ
𖠘,lɛt kut
𖠙,ntap mfaa
𖠚,məkɯp
𖠛,paʃə
𖠜,ɣɯərə
𖠝,pamʃə
