# bgn/pcgn tigrinya 2007
# ungegn amharic 1967
# http://yacob.org/papers/DanielYacob-IUC25.pdf
# https://unicode.org/wg2/docs/n3572.pdf
# https://unicode.org/L2/L2021/21037-gurage-adds.pdf
# http://keyboards.ethiopic.org/specification/
# https://unicode.org/wg2/docs/n2814.pdf
,e,u,i,a,ie,,o,we,wi,wa,wie,wi,ya,oa,wi,wie,wi
h,ሀ,ሁ,ሂ,ሃ,ሄ,ህ,ሆ,,,,,,,ሇ,,,
l,ለ,ሉ,ሊ,ላ,ሌ,ል,ሎ,,,ሏ,,,,ⶀ,,,
h,ሐ,ሑ,ሒ,ሓ,ሔ,ሕ,ሖ,𞟨,,ሗ,,,,,𞟩,𞟪,𞟫
m,መ,ሙ,ሚ,ማ,ሜ,ም,ሞ,ᎀ,ᎁ,ሟ,ᎂ,,ፙ,ⶁ,𞟭,𞟮,ᎃ
s,ሠ,ሡ,ሢ,ሣ,ሤ,ሥ,ሦ,,,ሧ,,,,,,,
r,ረ,ሩ,ሪ,ራ,ሬ,ር,ሮ,,,ሯ,,,ፘ,ⶂ,,,
s,ሰ,ሱ,ሲ,ሳ,ሴ,ስ,ሶ,,,ሷ,,,,ⶃ,,,
sh,ሸ,ሹ,ሺ,ሻ,ሼ,ሽ,ሾ,,,ሿ,,,,ⶄ,,,
k',ቀ,ቁ,ቂ,ቃ,ቄ,ቅ,ቆ,ቈ,ቊ,ቋ,ቌ,ቍ,,ቇ,𞟰,𞟱,𞟲
kh',ቐ,ቑ,ቒ,ቓ,ቔ,ቕ,ቖ,ቘ,ቚ,ቛ,ቜ,ቝ,,,,,
b,በ,ቡ,ቢ,ባ,ቤ,ብ,ቦ,ᎄ,ᎅ,ቧ,ᎆ,,,ⶅ,𞟳,𞟴,ᎇ
t,ተ,ቱ,ቲ,ታ,ቴ,ት,ቶ,,,ቷ,,,,ⶆ,,,
ch,ቸ,ቹ,ቺ,ቻ,ቼ,ች,ቾ,,,ቿ,,,,ⶇ,,,
h,ኀ,ኁ,ኂ,ኃ,ኄ,ኅ,ኆ,ኈ,ኊ,ኋ,ኌ,ኍ,,ኇ,,,
n,ነ,ኑ,ኒ,ና,ኔ,ን,ኖ,,,ኗ,,,,ⶈ,,,
ny,ኘ,ኙ,ኚ,ኛ,ኜ,ኝ,ኞ,,,ኟ,,,,ⶉ,,,
