ア,a
イ,i
ウ,u
エ,e
オ,o
カ,ka
ガ,ga
キ,ki
キャ,kya
キュ,kyu
キェ,kye
キョ,kyo
ギ,gi
ギャ,gya
ギュ,gyu
ギェ,gye
ギョ,gyo
ク,ku
グ,gu
ケ,ke
ケィ,kei
ゲ,ge
コ,ko
ゴ,go
サ,sa
ザ,za
シ,shi
シャ,sha
シュ,shu
シェ,she
ショ,sho
ジ,ji
ジャ,ja
ジュ,ju
ジェ,je
ジョ,jo
ス,su
ズ,zu
セ,se
ゼ,ze
ソ,so
ゾ,zo
タ,ta
ダ,da
チ,chi
チャ,cha
チュ,chu
チェ,che
チョ,cho
ヂ,ji
ヂャ,ja
ヂュ,ju
ヂェ,je
ヂョ,jo
ツ,tsu
ツァ,tsa
ツィ,tsi
ツェ,tse
ツォ,tso
ヅ,zu
テ,te
ティ,ti
テュ,tyu
デ,de
ディ,di
デュ,dyu
ト,to
ド,do
ナ,na
ニ,ni
ニャ,nya
ニュ,nyu
ニェ,nye
ニョ,nyo
ヌ,nu
ネ,ne
ノ,no
ハ,ha
バ,ba
パ,pa
ヒ,hi
ヒャ,hya
ヒュ,hyu
ヒェ,hye
ヒョ,hyo
ビ,bi
ビャ,bya
ビュ,byu
ビェ,bye
ビョ,byo
ピ,pi
ピャ,pya
ピュ,pyu
ピェ,pye
ピョ,pyo
フ,fu
ファ,fa
フィ,fi
フェ,fe
フォ,fo
ブ,bu
プ,pu
ヘ,he
ベ,be
ペ,pe
ホ,ho
ボ,bo
ポ,po
マ,ma
ミ,mi
ミャ,mya
ミュ,myu
ミェ,mye
ミョ,myo
ム,mu
メ,me
モ,mo
ヤ,ya
ユ,yu
ヨ,yo
ラ,ra
リ,ri
リャ,rya
リュ,ryu
リェ,rye
リョ,ryo
ル,ru
レ,re
ロ,ro
ワ,wa
