⦀	|||
⦁	*
⦂	:
⦃	{
⦄	}
⦅	(
⦆	)
⦇	(
⦈	)
⦉	<
⦊	>
⦋	[
⦌	]
⦍	[
⦎	]
⦏	[
⦐	]
⦑	<
⦒	>
#⦓	_
#⦔	_
#⦕	_
#⦖	_
⦗	[
⦘	]
⦙	:
⦚	|
#⦛	_
#⦜	_
#⦝	_
⦞	<s
#⦟	_
#⦠	_
#⦡	_
#⦢	_
#⦣	_
#⦤	_
#⦥	_
#⦦	_
#⦧	_
#⦨	_
#⦩	_
#⦪	_
#⦫	_
#⦬	_
#⦭	_
#⦮	_
#⦯	_
#⦰	_
#⦱	_
#⦲	_
#⦳	_
#⦴	_
#⦵	_
#⦶	_
#⦷	_
#⦸	_
#⦹	_
#⦺	_
#⦻	_
#⦼	_
#⦽	_
#⦾	_
#⦿	_
⧀	<
⧁	>
#⧂	_
#⧃	_
#⧄	_
#⧅	_
⧆	*
⧇	o
#⧈	_
#⧉	_
#⧊	_
#⧋	_
⧌	s
#⧍	_
#⧎	_
#⧏	_
#⧐	_
#⧑	_
#⧒	_
#⧓	_
#⧔	_
#⧕	_
#⧖	_
#⧗	_
⧘	{
⧙	}
⧚	{{
⧛	}}
#⧜	_
#⧝	_
#⧞	_
#⧟	_
#⧠	_
#⧡	_
⧢	E
⧣	#
⧤	#
⧥	#
⧦	#
⧧	#
#⧨	_
#⧩	_
#⧪	_
#⧫	_
#⧬	_
#⧭	_
#⧮	_
#⧯	_
#⧰	_
#⧱	_
#⧲	_
#⧳	_
⧴	:->
⧵	\
⧶	/
⧷	\
⧸	/
⧹	\
⧺	++
⧻	+++
⧼	<
⧽	>
⧾	+
⧿	-
