𞠀,ki
𞠁,ka
𞠂,ku
𞠈,wi
𞠉,wa
𞠊,wu
𞠔,mĩ
𞠕,mã
𞠖,mũ
𞠛,bi
𞠜,ba
𞠝,bu
𞠢,i
𞠣,a
𞠤,u
𞠾,di
𞠿,da
𞡀,du
𞠮,si
𞠯,sa
𞠰,su
𞡄,ti
𞡅,ta
𞡆,tu
𞠶,li
𞠷,la
𞠸,lu
𞡋,ji
𞡌,ja
𞡍,ju
𞡓,yi
𞡔,ya
𞡕,yu
𞡚,fi
𞡛,fa
𞡜,fu
𞡣,nĩ
𞡤,nã
𞡥,nũ
𞡫,he
𞡩,ha
𞡭,ho
𞡸,ŋgã
𞢢,kpe
𞠎,wɔ
𞡶,hũa
𞢖,mbe
𞠆,kɔ
𞠒,wva
𞢎,pu
𞢐,pɛ
𞡴,hɛ̃
𞡱,hĩ
𞠻,lo
𞡈,tɛ
𞢧,gba
𞢊,ŋɔ̃
𞣁,nyã
𞠗,mɛ̃
𞣄,nyɔ̃
𞠑,wvi
𞢔,mba
𞡑,jɔ
𞢴,ndɔ
𞠃,ke
𞢒,pɔ
𞢳,ndo
𞢌,pi
𞡊,tɔ
𞢬,gbɔ
𞢫,gbo
𞢘,mbɛ
𞠺,lɛ
𞢡,kpu
𞡞,fɛ
𞠅,ko
𞢿,vɔ
𞡝,fe
𞠴,sɔ
𞡗,yɛ
𞢏,pe
𞡹,ŋgu
𞡯,hei
𞠹,le
𞢽,vɛ
𞢀,ŋgɛɛ
𞡳,hũ
𞡠,fɔ
𞡁,de
𞡷,ŋgi
𞡇,te
𞢠,kpa
𞢩,gbe
𞠘,mɔ̃
𞠄,kɛ
𞡬,hɛ
𞠟,bɛ
𞣃,nyɛ̃
𞢍,pa
𞠦,ɛ
𞡢,fã
𞢑,po
𞠠,bo
𞡉,to
𞢝,mboo
𞢁,ŋgoo
𞢪,gbɛ
𞢣,kpɛ
𞡖,ye
𞠽,lɛɛ
𞢄,ga
𞢤,kpo
𞡏,jɛ
𞠍,wo
𞡺,ŋge
𞠲,sɛ
𞡦,nɛ̃
𞠌,wɛ
𞢲,ndɛ
𞡽,ŋgɔ
𞡙,yɔ
𞢕,mbu
𞢮,ndi
𞢦,gbi
𞢰,ndu
𞠋,we
𞡿,ŋgua
𞡰,hou
𞢯,nda
𞡲,hã
𞠪,ĩ
𞢟,kpi
𞡟,fo
𞢸,njo
𞠫,ĩ
𞠳,so
𞠩,ɛi
𞠡,bɔ
𞠓,wvɛ
𞡮,hɔ
𞡘,yo
𞢞,mbɔɔ
𞠐,wɛi
𞢾,vo
𞢓,mbi
𞡻,ŋgɛ
𞠨,ɔ
𞢨,gbu
𞢷,nje
𞠞,be
𞢻,vu
𞢵,nja
𞠼,lɔ
𞠙,mũa
𞢃,gi
𞡼,ŋgo
𞡎,je
𞢥,kpɔ
𞡾,ŋgaa
𞡐,jo
𞢜,mbɛɛ
𞠱,se
𞠥,e
𞣀,nyĩ
𞠧,o
𞢇,guɛi
𞢈,gũa
𞢅,gu
𞡧,nɔ̃
𞣂,nyũ
𞢭,ra
𞢙,mbɔ
𞢼,ve
𞢚,mbo
𞡒,jɔɔ
𞡨,hi
𞢋,ŋũa
𞠭,ɛ̃
𞠇,kua
𞡂,do
𞡃,dɔ
𞢹,vi
𞢂,ŋgɔɔ
𞢉,ŋɛ̃
𞢺,va
𞡪,hu
𞢛,mbuu
𞢗,mbe
𞠚,mũɛ
𞢆,ge
𞢱,nde
𞢶,nju
𞡵,hɔ̃
𞠏,wui
𞠬,ã
𞠵,sia
𞡡,fua
