# https://unicode.org/charts/PDF/U1F700.pdf
#
# Symbols for Aristotelian elements
🜀	QE
🜁	A
🜂	F
🜃	E
🜄	W
# Symbols for important solvents
🜅	AF
🜆	AR
🜇	AR
🜈	SV
🜉	SV
🜊	+
🜋	+
🜌	+
# Symbols for sulfur and mercury
🜍	*
🜎	*
🜏	*
🜐	*
🜑	*
🜒	*
🜓	*
# Symbols for salt, vitriol, and nitre
🜔	s
🜕	n
🜖	n
🜗	v
🜘	*
🜙	*
# Symbols for gold and silver
🜚	*
🜛	*
# Symbols for iron, iron ore and derivatives
🜜	*
🜝	*
🜞	*
🜟	*
# Symbols for copper, copper ore and derivatives
🜠	*
🜡	*
🜢	*
🜣	*
🜤	*
🜥	*
🜦	*
🜧	*
🜨	*
# Symbols for tin and lead ore
🜩	*
🜪	*
# Symbols for antimony, antimony ore and derivatives
🜫	*
🜬	*
🜭	*
🜮	*
🜯	*
🜰	*
🜱	*
🜲	*
🜳	*
🜴	*
🜵	*
# Symbols for other substances
🜶	*
🜷	*
🜸	*
🜹	*
🜺	*
🜻	*
🜼	*
🜽	*
🜾	*
🜿	*
🝀	*
🝁	*
🝂	*
🝃	*
🝄	*
🝅	*
🝆	*
🝇	*
🝈	*
🝉	*
🝊	*
🝋	*
🝌	*
🝍	*
🝎	*
🝏	*
🝐	*
🝑	*
🝒	*
🝓	*
🝔	*
🝕	*
🝖	*
🝗	*
🝘	*
🝙	*
🝚	*
🝛	*
🝜	*
🝝	*
# Processes
🝞	*
🝟	*
🝠	*
🝡	*
🝢	*
🝣	*
🝤	*
# Apparatus
🝥	T
🝦	T
🝧	T
🝨	T
🝩	T
🝪	A
🝫	MB
🝬	VB
🝭	R
# Time
🝮	h
🝯	n
🝰	dn
🝱	m
# Measures
🝲	drss
🝳	ozss
# Other symbol
# https://unicode.org/L2/L2022/22005-fortune-eclipse.pdf
🝴	*
# Eclipse symbols
# https://unicode.org/L2/L2022/22005-fortune-eclipse.pdf
🝵	*
🝶	*
# Symbols for dwarf planets
# https://unicode.org/L2/L2021/21224-dwarf-planet-syms.pdf
🝻	*
🝼	*
🝽	*
🝾	*
🝿	*
