🜀	QE
#🜁	_
#🜂	_
#🜃	_
#🜄	_
#
#🜅	_
#🜆	_
🜇	AR
🜈	sV
🜉	V
🜊	+
🜋	+
#🜌	_
#
#🜍	_
#🜎	_
#🜏	_
#🜐	_
#🜑	_
#🜒	_
#🜓	_
#
🜔	O
🜕	O
🜖	O
🜗	O
#🜘	_
#🜙	_
#
#🜚	_
#🜛	_
#
#🜜	_
#🜝	_
#🜞	_
#🜟	_
#
#🜠	_
#🜡	_
#🜢	_
#🜣	_
#🜤	_
#🜥	_
#🜦	_
#🜧	_
🜨	o
#
#🜩	_
#🜪	_
#
#🜫	_
#🜬	_
#🜭	_
#🜮	_
#🜯	_
#🜰	_
#🜱	_
#🜲	_
#🜳	_
#🜴	_
#🜵	_
#
#🜶	_
#🜷	_
#🜸	_
🜹	*
#🜺	_
#🜻	_
#🜼	_
#🜽	_
#🜾	_
#🜿	_
#🝀	_
#🝁	_
#🝂	_
#🝃	_
#🝄	_
#🝅	_
#🝆	_
🝇	*sp
#🝈	_
#🝉	_
🝊	+
#🝋	_
🝌	c
🝍	X
#🝎	_
#🝏	_
#🝐	_
#🝑	_
#🝒	_
#🝓	_
#🝔	_
#🝕	_
#🝖	_
#🝗	_
#🝘	_
#🝙	_
#🝚	_
🝛	aaa
🝜	sss
🝝	sss
#
#🝞	_
#🝟	_
#🝠	_
#🝡	_
#🝢	_
#🝣	_
#🝤	_
#
#🝥	_
#🝦	_
#🝧	_
🝨	T
#🝩	_
#🝪	_
🝫	MB
🝬	VB
#🝭	_
#
#🝮	_
#🝯	_
#🝰	_
#🝱	_
#
#🝲	_
#🝳	_
