# https://unicode.org/charts/PDF/U1D200.pdf
# https://web.archive.org/web/20070204033144/http://www.tlg.uci.edu/final/musical.pdf
#
# Ancient Greek vocalic notation
𝈀	1
𝈁	2
𝈂	3
𝈃	4
𝈄	5
𝈅	6
𝈆	7
𝈇	8
𝈈	9
𝈉	10
𝈊	11
𝈋	12
𝈌	13
𝈍	14
𝈎	15
𝈏	16
𝈐	17
𝈑	18
𝈒	19
𝈓	20
𝈔	21
𝈕	22
𝈖	23
𝈗	24
𝈘	50
𝈙	51
𝈚	52
𝈛	53
𝈜	54
# Ancient Greek instrumental notation
𝈝	1
𝈞	2
𝈟	4
𝈠	5
𝈡	7
𝈢	8
𝈣	11
𝈤	12
𝈥	13
𝈦	14
𝈧	17
𝈨	18
𝈩	19
𝈪	23
𝈫	24
𝈬	25
𝈭	26
𝈮	27
𝈯	29
𝈰	30
𝈱	32
𝈲	36
𝈳	37
𝈴	38
𝈵	39
𝈶	40
𝈷	42
𝈸	43
𝈹	45
𝈺	47
𝈻	48
𝈼	49
𝈽	50
𝈾	51
𝈿	52
𝉀	53
𝉁	54
# Further Greek musical notation symbols
𝉂	3
𝉃	4
𝉄	5
𝉅	-
