# Arabic
# https://unicode.org/charts/PDF/U0600.pdf
## Subtending marks
## https://unicode.org/L2/L2002/02163-n2413-4-urdu.pdf
## https://unicode.org/L2/L2009/09144-arabic-samvat.pdf
؀	#
؁	sn.
؂	^
؃	#
؄	sm.
## Supertending mark
؅	#
## Radix symbols
؆	∛
؇	∜
## Letterlike symbol
؈	r
## Punctuation
؉	%0
؊	%00
## Currency symbol
؋	Af
## Punctuation
،	,
؍	/
## Poetic marks
## https://unicode.org/L2/L2002/02163-n2413-4-urdu.pdf
؎	^
؏	*
## Honorifics
## https://unicode.org/wg2/docs/n2483.pdf
ؐ	
ؑ	
ؒ	
ؓ	
ؔ	
## Quranic annotation sign
## https://unicode.org/L2/L2002/02163-n2413-4-urdu.pdf
ؕ	
## Quranic annotation signs
## https://unicode.org/L2/L2006/06358r-n3185r-quranic-diacritics.pdf
ؗ	
ؘ	
ؙ	
ؚ	
## Punctuation
؛	;
## Format character
## https://unicode.org/L2/L2011/11278-arabic-letter-mark.pdf
؜	
## Punctuation
## https://unicode.org/L2/L2020/20245-three-arabic-symbols.pdf
## https://unicode.org/L2/L2003/03159-arabic-3dot.pdf
؝	.
؞	.
؟	?
## Punctuation
٪	%
٫	.
٬	,
٭	*
## Punctuation
۔	.
## Quranic annotation signs
ۖ	
ۗ	
ۘ	
ۙ	
ۚ	
ۛ	
ۜ	
۝	#
۞	#
۟	
۠	
ۡ	
ۢ	
ۣ	
ۤ	
ۥ	
ۦ	
ۧ	
ۨ	
۩	^
۪	
۫	
۬	
ۭ	
## Signs for Sindhi
## https://dic.sindhila.edu.pk
## https://unicode.org/L2/L2020/20288-kurdish-sindhi-annot.pdf
۾	m.
۽	&
# Arabic Extended-B
# https://unicode.org/charts/PDF/U0870.pdf
## Additions for Quranic orthographies
## https://unicode.org/wg2/docs/n5142-19306-quranic-additions.pdf
ࡰ	'
ࡱ	'
ࡲ	'
ࡳ	'
ࡴ	'
ࡵ	'
ࡶ	'
ࡷ	'
ࡸ	'
ࡹ	'
