# arabic ungegn 2017
ء	'
ا	
ب	b
ت	t
ث	th
ج	j
ح	h
خ	kh
د	d
ذ	dh
ر	r
ز	z
س	s
ش	sh
ص	s
ض	d
ط	t
ظ	dh
ع	'
غ	gh
ف	f
ق	q
ك	k
ل	l
م	m
ن	n
ه	h
و	w
ي	y
آ	a
َ	a
ِ	i
ُ	u
ْ	
# arabic ala-lc 2012
گ	g
ڴ	n
پ	p
چ	ch
ژ	zh
ڤ	v
ۋ	v
ڥ	v
ڢ	f
ڧ	q
ة	h
ٌ	un
ً	an
ٍ	in
ﷹ	Salla
ﷲ	Allah
ﷷ	'Alayhi
ﷸ	Wa-Sallam
ﷺ	Salla Allah 'Alayhi Wa-Sallam
# arabic bgn/pcgn 1956
ڨ	g
ٱ	'
# afghan bgn/pcgn 2007
ټ	t
ځ	dz
څ	ts
ډ	d
ړ	r
ږ	zh
ښ	sh
ڼ	n
ى	y
ٙ	e
ې	e
# urdu bgn/pcgn 2007
ڈ	d
ڑ	r
ہ	h
ھ	h
ے	e
ٰ	a
# kurdish bgn/pcgn 2007
ڵ	l
ۊ	u
# sindhi ala-lc 2013
ڦ	ph
ڪ	k
ک	kh
ڳ	g
ڱ	n
ڻ	n
# kazakh ala-lc 2012
ۇ	u
ٷ	u
# uighur ala-lc 2015
ڭ	ng
ۆ	o
ۈ	u
ئ	i
# jawi-pegon ala-lc 2012
ڎ	dh
ڟ	th
ڠ	ng
ڽ	ny
# arwi
ࢳ	ng
ࢴ	g
ࣣ	e
# burushaski
ݳ	a
ݴ	aa
ٹ	t
ݘ	c
ݼ	ch
ݸ	o
ݹ	oo
ݺ	e
ݻ	ee
ݽ	s
ݶ	ii
ݷ	y
# other
؉	%0
؊	%00
٪	%
٫	.
٬	,
٭	*
؟	?
،	,
؛	;
۽	&
۩	^
# words
ﷰ	Salla
ﷱ	Qala
ﷳ	Akbar
ﷴ	Muhammad
ﷵ	Salam
ﷶ	Rasul
ﷻ	Jalla Jalalahu
﷼	Rial
﷽	Bismillah Ar-Rahman Ar-Rahim
