# arrows
# supplemental arrows a
# supplemental arrows b
# supplemental arrows c
←	<
↑	^
→	>
↓	v
↔	-
↕	|
↖	\
↗	/
↘	\
↙	/
#
↚	<
↛	>
↜	<
↝	>
↞	<
↟	^
↠	>
↡	v
↢	<
↣	>
↤	<
↥	^
↦	>
↧	v
↨	|
↩	<
↪	>
↫	<
↬	>
↭	~
↮	-
↯	v
#
↰	<
↱	>
↲	<
↳	>
#
↴	v
↵	<
↶	<
↷	>
↸	\
↹	=
↺	<
↻	>
#
↼	<
↽	<
↾	^
↿	^
⇀	>
⇁	>
⇂	v
⇃	v
#
⇄	=
⇅	|
⇆	=
⇇	<
⇈	^
⇉	>
⇊	v
⇋	=
⇌	=
#
⇍	<
⇎	-
⇏	>
⇐	<
⇑	^
⇒	>
⇓	v
⇔	-
⇕	|
⇖	\
⇗	/
⇘	\
⇙	/
#
⇚	<
⇛	>
⇜	<
⇝	>
⇞	^
⇟	v
⇠	<
⇡	^
⇢	>
⇣	v
⇤	<
⇥	>
#
⇦	<
⇧	^
⇨	>
⇩	v
⇪	^
⇫	^
⇬	^
⇭	^
⇮	^
⇯	^
⇰	>
⇱	\
⇲	\
⇳	|
#
⇴	>
⇵	|
⇶	>
⇷	<
⇸	>
⇹	-
⇺	<
⇻	>
⇼	-
⇽	<
⇾	>
⇿	-
#
⟰	^
⟱	v
⟲	<
⟳	>
⟴	>
#
⟵	<
⟶	>
⟷	-
⟸	<
⟹	>
⟺	-
⟻	<
⟼	>
⟽	<
⟾	>
⟿	~
#
⤀	>
⤁	>
⤂	<
⤃	>
⤄	-
⤅	>
⤆	<
⤇	>
⤈	v
⤉	^
⤊	^
⤋	v
⤌	<
⤍	>
⤎	<
⤏	>
⤐	>
⤑	>
⤒	^
⤓	v
⤔	>
⤕	>
⤖	>
⤗	>
⤘	>
#
⤙	<
⤚	>
⤛	<
⤜	>
#
⤝	<
⤞	>
⤟	<
⤠	>
⤡	\
⤢	/
⤣	\
⤤	/
⤥	\
⤦	/
#
⤧	X
⤨	X
⤩	X
⤪	X
⤫	X
⤬	X
⤭	X
⤮	X
⤯	X
⤰	X
⤱	X
⤲	X
#
⤳	>
⤴	^
⤵	v
⤶	<
⤷	>
⤸	<
⤹	>
⤺	<
⤻	>
⤼	-
⤽	+
⤾	<
⤿	>
⥀	<
⥁	>
#
⥂	=
⥃	=
⥄	=
⥅	>
⥆	<
⥇	>
⥈	-
⥉	^
#
⥊	-
⥋	-
⥌	|
⥍	|
⥎	-
⥏	|
⥐	-
⥑	|
#
⥒	<
⥓	>
⥔	^
⥕	v
⥖	<
⥗	>
⥘	^
⥙	v
⥚	<
⥛	>
⥜	^
⥝	v
⥞	<
⥟	>
⥠	^
⥡	v
#
⥢	<
⥣	^
⥤	>
⥥	v
⥦	=
⥧	=
⥨	=
⥩	=
⥪	<
⥫	<
⥬	>
⥭	>
⥮	|
⥯	|
#
⥰	>
#
⥱	=
⥲	~
⥳	<
⥴	>
⥵	~
⥶	<
⥷	<
⥸	>
⥹	>
⥺	<
⥻	<
#
⥼	>
⥽	<
⥾	v
⥿	^
#
🠀	<
🠁	^
🠂	>
🠃	v
🠄	<
🠅	^
🠆	>
🠇	v
🠈	<
🠉	^
🠊	>
🠋	v
#
🠐	<
🠑	^
🠒	>
🠓	v
🠔	<
🠕	^
🠖	>
🠗	v
🠘	<
🠙	^
🠚	>
🠛	v
🠜	<
🠝	^
🠞	>
🠟	v
#
🠠	<
🠡	^
🠢	>
🠣	v
🠤	<
🠥	^
🠦	>
🠧	v
🠨	<
🠩	^
🠪	>
🠫	v
🠬	<
🠭	^
🠮	>
🠯	v
🠰	<
🠱	^
🠲	>
🠳	v
#
🠴	<
🠵	^
🠶	>
🠷	v
#
🠸	<
🠹	^
🠺	>
🠻	v
#
🠼	<
🠽	^
🠾	>
🠿	v
🡀	<
🡁	^
🡂	>
🡃	v
#
🡄	<
🡅	^
🡆	>
🡇	v
#
🡐	<
🡑	^
🡒	>
🡓	v
🡔	\
🡕	/
🡖	\
🡗	/
🡘	-
🡙	|
#
🡠	<
🡡	^
🡢	>
🡣	v
🡤	\
🡥	/
🡦	\
🡧	/
🡨	<
🡩	^
🡪	>
🡫	v
🡬	\
🡭	/
🡮	\
🡯	/
🡰	<
🡱	^
🡲	>
🡳	v
🡴	\
🡵	/
🡶	\
🡷	/
🡸	<
🡹	^
🡺	>
🡻	v
🡼	\
🡽	/
🡾	\
🡿	/
🢀	<
🢁	^
🢂	>
🢃	v
🢄	\
🢅	/
🢆	\
🢇	/
#
🢐	<
🢑	^
🢒	>
🢓	v
🢔	<
🢕	^
🢖	>
🢗	v
#
🢘	<
🢙	^
🢚	>
🢛	v
#
🢜	-
🢝	-
🢞	-
🢟	-
#
🢠	<
🢡	>
🢢	<
🢣	>
🢤	<
🢥	>
🢦	<
🢧	>
🢨	<
🢩	>
🢪	<
🢫	>
#
🢬	-
🢭	-
#
🢰	\
🢱	/
