# https://unicode.org/charts/PDF/UA6A0.pdf
# https://unicode.org/wg2/docs/n3522.pdf
# https://unicode.org/L2/L2007/07023-bamum-report.pdf
#
# Syllables
ꚠ	A
ꚡ	Ka
ꚢ	U
ꚣ	Ku
ꚤ	E
ꚥ	Re
ꚦ	Te
ꚧ	O
ꚨ	Nyi
ꚩ	I
ꚪ	La
ꚫ	Pa
ꚬ	Rii
ꚭ	Rie
ꚮ	Lee
ꚯ	Mee
ꚰ	Taa
ꚱ	Ndaa
ꚲ	Njem
ꚳ	M
ꚴ	Suu
ꚵ	Mu
ꚶ	Shii
ꚷ	Si
ꚸ	Shux
ꚹ	Sux
ꚺ	Kye
ꚻ	Ket
ꚼ	Nue
ꚽ	Nu
ꚾ	Njue
ꚿ	Yoq
ꛀ	Shu
ꛁ	Yuq
ꛂ	Ya
ꛃ	Nsha
ꛄ	Kux
ꛅ	Pux
ꛆ	Nje
ꛇ	Nte
ꛈ	Pu
ꛉ	Wu
ꛊ	Pe
ꛋ	Fe
ꛌ	Ru
ꛍ	Lu
ꛎ	Mi
ꛏ	Ni
ꛐ	Rux
ꛑ	Re
ꛒ	Ken
ꛓ	Ngkwen
ꛔ	Ngga
ꛕ	Nga
ꛖ	Sho
ꛗ	Pue
ꛘ	Fu
ꛙ	Fom
ꛚ	Wa
ꛛ	Na
ꛜ	Li
ꛝ	Pi
ꛞ	Loq
ꛟ	Ko
ꛠ	Mben
ꛡ	Ren
ꛢ	Men
ꛣ	Ma
ꛤ	Ti
ꛥ	Ki
# Combining marks
꛰	'
꛱	`
# Punctuation
꛲	*
꛳	.
꛴	:
꛵	,
꛶	;
꛷	?
