# https://unicode.org/charts/PDF/U2500.pdf
#
# Light and heavy solid lines
─	-
━	-
│	|
┃	|
# Light and heavy dashed lines
┄	-
┅	-
┆	|
┇	|
┈	-
┉	-
┊	|
┋	|
# Light and heavy line box components
┌	+
┍	+
┎	+
┏	+
┐	+
┑	+
┒	+
┓	+
└	+
┕	+
┖	+
┗	+
┘	+
┙	+
┚	+
┛	+
├	+
┝	+
┞	+
┟	+
┠	+
┡	+
┢	+
┣	+
┤	+
┥	+
┦	+
┧	+
┨	+
┩	+
┪	+
┫	+
┬	+
┭	+
┮	+
┯	+
┰	+
┱	+
┲	+
┳	+
┴	+
┵	+
┶	+
┷	+
┸	+
┹	+
┺	+
┻	+
┼	+
┽	+
┾	+
┿	+
╀	+
╁	+
╂	+
╃	+
╄	+
╅	+
╆	+
╇	+
╈	+
╉	+
╊	+
╋	+
# Light and heavy dashed lines
╌	-
╍	-
╎	|
╏	|
# Double lines
═	-
║	|
# Light and double line box components
╒	+
╓	+
╔	+
╕	+
╖	+
╗	+
╘	+
╙	+
╚	+
╛	+
╜	+
╝	+
╞	+
╟	+
╠	+
╡	+
╢	+
╣	+
╤	+
╥	+
╦	+
╧	+
╨	+
╩	+
╪	+
╫	+
╬	+
# Character cell arcs
╭	+
╮	+
╯	+
╰	+
# Character cell diagonals
╱	/
╲	\
╳	X
# Light and heavy half lines
╴	-
╵	|
╶	-
╷	|
╸	-
╹	|
╺	-
╻	|
# Mixed light and heavy lines
╼	-
╽	|
╾	-
╿	|
