# https://unicode.org/charts/PDF/U11100.pdf
# https://unicode.org/wg2/docs/n3645.pdf
# https://unicode.org/wg2/docs/n4802-chakma-add.pdf
# https://unicode.org/wg2/docs/n5055-19143-chakma-letter-vaa.pdf
#
# Various signs
𑄀	m
𑄁	m
𑄂	h
# Independent vowels
𑄃	a
𑄄	i
𑄅	u
𑄆	e
# Consonants
𑄇	k
𑄈	kh
𑄉	g
𑄊	gh
𑄋	n
𑄌	c
𑄍	ch
𑄎	j
𑄏	jh
𑄐	n
𑄑	t
𑄒	th
𑄓	d
𑄔	dh
𑄕	n
𑄖	t
𑄗	th
𑄘	d
𑄙	dh
𑄚	n
𑄛	p
𑄜	ph
𑄝	b
𑄞	bh
𑄟	m
𑄠	y
𑄡	y
𑄢	r
𑄣	l
𑄤	w
𑄥	s
𑄦	h
# Dependent vowel signs
𑄧	a
𑄨	i
𑄩	i
𑄪	u
𑄫	u
𑄬	e
𑄭	ai
𑄮	o
𑄯	au
𑄰	oi
𑄱	o
𑄲	au
# Various signs
𑄳	
𑄴	
# Punctuation
𑅀	*
𑅁	,
𑅂	.
𑅃	?
# Consonants
𑅄	lh
# Dependent vowel signs
𑅅	a
𑅆	ei
# Consonant
𑅇	v
