# https://www.unicode.org/charts/PDF/UAA00.pdf
# https://en.wikipedia.org/wiki/Cham_script
# https://www.unicode.org/wg2/docs/n3120.pdf
# ala-lc 2015 
# independent vowels
ꨀ	a
ꨁ	i
ꨂ	u
ꨃ	e
ꨄ	ai
ꨅ	o
# consonants
ꨆ	k
ꨇ	kh
ꨈ	g
ꨉ	gh
ꨊ	ng
ꨋ	ng
ꨌ	c
ꨍ	ch
ꨎ	j
ꨏ	jh
ꨐ	ny
ꨑ	ny
ꨒ	nj
ꨓ	t
ꨔ	th
ꨕ	d
ꨖ	dh
ꨗ	n
ꨘ	n
ꨙ	nd
ꨚ	p
ꨛ	pp
ꨜ	ph
ꨝ	b
ꨞ	bh
ꨟ	m
ꨠ	m
ꨡ	mb
ꨢ	y
ꨣ	r
ꨤ	l
ꨥ	w
ꨦ	x
ꨧ	s
ꨨ	h
# dependent vowel signs
ꨩ	aa
ꨪ	i
ꨫ	i
ꨬ	ei
ꨭ	u
ꨮ	e
ꨯ	o
ꨰ	ai
ꨱ	au
ꨲ	u
# consonant signs
ꨳ	y
ꨴ	r
ꨵ	l
ꨶ	w
# final consonants
ꩀ	k
ꩁ	g
ꩂ	ng
ꩃ	ng
ꩄ	c
ꩅ	t
ꩆ	n
ꩇ	p
ꩈ	y
ꩉ	r
ꩊ	l
ꩋ	x
ꩌ	m
ꩍ	h
# punctuation
꩜	@
꩝	|
꩞	||
꩟	|||
