# https://en.wikipedia.org/wiki/Forsyth–Edwards_Notation
# https://www.unicode.org/charts/PDF/U2600.pdf
♔	K
♕	Q
♖	R
♗	B
♘	N
♙	P
#
♚	k
♛	q
♜	r
♝	b
♞	n
♟	p
# https://www.unicode.org/charts/PDF/U1FA00.pdf
🨀	K
🨁	Q
🨂	R
🨃	B
🨄	N
🨅	P
#
🨆	N
🨇	n
🨈	N
#
🨉	K
🨊	Q
🨋	R
🨌	B
🨍	N
🨎	P
#
🨏	k
🨐	q
🨑	r
🨒	b
🨓	n
🨔	p
#
🨕	K
🨖	Q
🨗	R
🨘	B
🨙	N
🨚	P
#
🨛	N
🨜	n
🨝	N
#
🨞	K
🨟	Q
🨠	R
🨡	B
🨢	N
🨣	P
#
🨤	k
🨥	q
🨦	r
🨧	b
🨨	n
🨩	p
#
🨪	K
🨫	Q
🨬	R
🨭	B
🨮	N
🨯	P
#
🨰	N
🨱	n
🨲	N
#
🨳	K
🨴	Q
🨵	R
🨶	B
🨷	N
🨸	P
#
🨹	k
🨺	q
🨻	r
🨼	b
🨽	n
🨾	p
#
🨿	K
🩀	Q
🩁	R
🩂	B
🩃	N
🩄	P
#
🩅	N
🩆	n
🩇	N
#
🩈	E
🩉	e
🩊	E
#
🩋	E
🩌	e
🩍	E
#
🩎	NQ
🩏	NR
🩐	NB
#
🩑	nq
🩒	nr
🩓	nb
# https://en.wikipedia.org/wiki/Xiangqi
🩠	G
🩡	A
🩢	E
🩣	H
🩤	R
🩥	C
🩦	S
#
🩧	g
🩨	a
🩩	e
🩪	h
🩫	r
🩬	c
🩭	s
