# https://unicode.org/charts/PDF/U3000.pdf
#
# CJK symbols and punctuation
　	 
、	,
。	.
〃	"
〄	(JIS)
々	-
〆	/
〇	0
# CJK angle brackets
〈	<
〉	>
《	<<
》	>>
# CJK corner brackets
「	[
」	]
『	[
』	]
# CJK brackets
【	[(
】	)]
# CJK symbols
〒	@
〓	=
# CJK brackets
〔	[
〕	]
〖	[(
〗	)]
〘	[
〙	]
〚	[
〛	]
# CJK punctuation
〜	~
〝	"
〞	"
〟	"
# CJK symbol
〠	@
# Suzhou numerals
〡	1
〢	2
〣	3
〤	4
〥	5
〦	6
〧	7
〨	8
〩	9
# Combining tone marks
〪	
〫	
〬	
〭	
〮	
〯	
# Other CJK punctuation
〰	~
# Other CJK symbols
〶	〒
〷	XX
# Additional Suzhou numerals
〸	10
〹	20
〺	30
# Other CJK punctuation
〻	-
〼	Masu
〽	~
# Special CJK indicators
〾	~
〿	#
