# Combining Diacritical Marks
# https://unicode.org/charts/PDF/U0300.pdf
## Ordinary diacritics
̀	
́	
̂	
̃	
̄	
̅	
̆	
̇	
̈	
̉	
̊	
̋	
̌	
̍	
̎	
̏	
̐	
̑	
̒	
̓	
̔	
̕	
̖	
̗	
̘	
̙	
̚	
̛	
̜	
̝	
̞	
̟	
̠	
̡	
̢	
̣	
̤	
̥	
̦	
̧	
̨	
̩	
̪	
̫	
̬	
̭	
̮	
̯	
̰	
̱	
̲	
̳	
## Overstruck diacritics
̴	
̵	
̶	
̷	
̸	
## Miscellaneous additions
̹	
̺	
̻	
̼	
̽	
̾	
̿	
## Vietnamese tone marks
̀	
́	
## Additions for Greek
͂	
̓	
̈́	
ͅ	
## Additions for IPA
͆	
͇	
͈	
͉	
͊	
## IPA diacritics for disordered speech
͋	
͌	
͍	
͎	
## Grapheme joiner
͏	
## Additions for the Uralic Phonetic Alphabet
͐	
͑	
͒	
͓	
͔	
͕	
͖	
͗	
## Miscellaneous additions
### https://unicode.org/wg2/docs/n2713.pdf
͘	
### https://unicode.org/wg2/docs/n2612-4.pdf
͙	
### https://unicode.org/wg2/docs/n2630.pdf
͚	
### https://unicode.org/wg2/docs/n2597.pdf
͛	
## Double diacritics
### https://unicode.org/wg2/docs/n2594.pdf
͜	
###
͝	
͞	
͟	
͠	
͡	
͢	
## Medieval superscript letter diacritics
ͣ	a
ͤ	e
ͥ	i
ͦ	o
ͧ	u
ͨ	c
ͩ	d
ͪ	h
ͫ	m
ͬ	r
ͭ	t
ͮ	v
ͯ	x
# Combining Diacritical Marks Extended
# https://unicode.org/charts/PDF/U1AB0.pdf
## Used in German dialectology
᪰	
᪱	
᪲	
᪳	
᪴	
᪵	
᪶	
᪷	
᪸	
᪹	
᪺	
## Marks surrounding other diacritics or letters
᪻	
᪼	
᪽	
᪾	
## Used in Scots dialectology
## https://unicode.org/wg2/docs/n5036r-scots-phonetics.pdf
ᪿ	w
ᫀ	ʍ
## Marks next to or surrounding other diacritics
### https://unicode.org/charts/PDF/U1AB0.pdf
᫁	
᫂	
᫃	
᫄	
### https://unicode.org/L2/L2021/21042-phonetic%20punct.pdf
᫅	
## Phonetic sign
## https://unicode.org/L2/L2020/20182-harrington-diacritic.pdf
᫆	
## Used in extended IPA
## https://unicode.org/L2/L2021/21042-phonetic%20punct.pdf
᫇	
᫈	
᫉	
᫊	
## Used in Middle English Ormulum
## https://unicode.org/wg2/docs/n5145-ormulum.pdf
᫋	
ᫌ	ᵹ
ᫍ	ꞃ
ᫎ	ꞇ
# Combining Diacritical Marks Supplement
# https://unicode.org/charts/PDF/U1DC0.pdf
## Used for Ancient Greek
## https://unicode.org/L2/L2002/02273r-tlg-greek.pdf
᷀	
᷁	
## Miscellaneous marks
### https://unicode.org/wg2/docs/n2740.pdf
᷂	
### https://unicode.org/wg2/docs/n2763r.pdf
᷃	
## Contour tone marks
## https://unicode.org/L2/L2004/04246r-LtnPhonOrth.pdf
᷄	
᷅	
᷆	
᷇	
᷈	
᷉	
## Miscellaneous mark
## https://unicode.org/L2/L2004/04246r-LtnPhonOrth.pdf
᷊	r
## Contour tone marks
