# https://edoc.unibas.ch/25678
ⲁ	a
ⲃ	b
ⲅ	g
ⲇ	d
ⲉ	e
ⲍ	z
ⲏ	e
ⲑ	th
ⲓ	i
ⲕ	k
ⲗ	l
ⲙ	m
ⲛ	n
ⲝ	ks
ⲟ	o
ⲡ	p
ⲣ	r
ⲥ	s
ⲧ	t
ⲩ	u
ⲫ	ph
ⲭ	kh
ⲯ	ps
ⲱ	o
ϣ	sh
ϥ	f
ϧ	x
ⳉ	x
ϩ	h
ϫ	j
ϭ	c
ϯ	ti
# https://unicode.org/wg2/docs/n2636.pdf
ⲋ	6
# https://unicode.org/wg2/docs/n2744.pdf
ⲳ	'
ⲵ	`
ⲷ	ⲉ
ⲹ	ⲕ
ⲻ	ⲛ
ⲽ	ⲛ
ⲿ	o
ⳁ	900
ⳃ	ϣ
ⳅ	ϣ
ⳇ	sh
ⳋ	ϩ
ⳍ	ϩ
ⳏ	h
ⳑ	h
ⳓ	h
ⳕ	h
ⳗ	ϫ
ⳙ	dj
ⳛ	ϭ
ⳝ	ϭ
ⳟ	ng
ⳡ	ny
ⳣ	w
ⳤ	&
⳥	ⲘⲢ.
⳦	ⲠⲢ.
⳧	ⲤⲦⲢⲤ.
⳨	ⲦⲢ.
⳩	ⲬⲢ.
⳪	ϬⲤ.
⳹	\\
⳺	/.
⳻	.\
⳼	//
⳽	.5
⳾	.
⳿	'
# https://unicode.org/wg2/docs/n3222.pdf
ⳬ	ϣ
ⳮ	ϫ
⳯	ⲛ
⳰	
⳱	
# https://unicode.org/wg2/docs/n3873.pdf
ⳳ	ϧ
# https://unicode.org/wg2/docs/n3990.pdf
𐋠	k
