# https://unicode.org/charts/PDF/U1F100.pdf
#
# https://unicode.org/L2/L2017/17242r-creative-commons.pdf
🄍	CC0
🄎	ShareAlike
🄏	NonCommercial
🅭	CreativeCommons
🅮	PublicDomain
🅯	Attribution
# https://unicode.org/L2/L2016/16059-copyleft.pdf
🄯	Copyleft
# White on black squared Latin letters
🆊	PX
# Squared Latin letter sequences
🆙	UP!
# https://unicode.org/L2/L2015/15238-n4671.pdf
🆛	3D
🆜	2ndScr
🆝	2K
🆞	4K
🆟	8K
🆠	5.1
🆡	7.1
🆢	22.2
🆣	60P
🆤	120P
🆥	d
🆨	Hi-Res
🆩	Lossless
# https://unicode.org/L2/L2018/18339-mask-work-symbol.pdf
🆭	*M*
