# https://unicode.org/charts/PDF/U2000.pdf
#
# Format characters
​	
‌	
‍	
‎	
‏	
# Dashes
‐	-
‒	-
–	-
—	-
―	-
# General punctuation
‖	||
‗	_
# Quotation marks and apostrophe
‘	'
’	'
‚	'
‛	'
“	"
”	"
„	"
‟	"
# General punctuation
†	+
‡	++
•	*
‣	*
‧	-
# Separators
 	 
 	 
# Format characters
‪	
‫	
‬	
‭	
‮	
# General punctuation
‰	%0
‱	%00
′	'
‵	`
‸	^
# Quotation marks
‹	<
›	>
# General punctuation
※	*
# General punctuation
‽	!?
‾	-
‿	_
⁀	-
⁁	^
⁂	***
⁃	-
⁄	/
# Brackets
⁅	[
⁆	]
# General punctuation
⁊	&
⁋	P
⁌	<
⁍	>
⁎	*
⁏	;
⁐	_
⁑	**
⁒	./.
⁓	~
⁔	_
⁕	*
# Archaic punctuation
⁖	:
# General punctuation
⁘	:
⁙	*
⁚	:
⁛	:
⁜	+
⁝	:
⁞	:
# Format character
⁠	
# Invisible operators
⁡	
⁢	
⁣	
⁤	
# Format characters
⁦	
⁧	
⁨	
⁩	
# Deprecated
⁪	
⁫	
⁬	
⁭	
⁮	
⁯	
