# https://unicode.org/charts/PDF/U1F780.pdf
#
# Isosceles right triangles
🞀	<
🞁	^
🞂	>
🞃	v
# Black circles
🞄	*
# White circles
🞅	*
🞆	*
🞇	*
🞈	*
🞉	*
# White circles containing another black circle
🞊	*
# Target symbol
🞋	*
# Black squares
🞌	*
🞍	*
# White squares
🞎	#
🞏	#
🞐	#
🞑	#
🞒	#
🞓	#
# White squares containing another black square
🞔	#
🞕	#
# Target symbol
🞖	#
# Black diamonds
🞗	*
🞘	*
🞙	*
# White diamonds containing another black diamond
🞚	*
🞛	*
# Target symbol
🞜	*
# Black lozenges
🞝	*
🞞	*
🞟	*
# White lozenge containing another black lozenge
🞠	*
# Greek crosses
🞡	+
🞢	+
🞣	+
🞤	+
🞥	+
🞦	+
🞧	+
# Saltires
🞨	x
🞩	x
🞪	x
🞫	x
🞬	x
🞭	x
🞮	x
# Five spoked asterisks
🞯	*
🞰	*
🞱	*
🞲	*
🞳	*
🞴	*
# Six spoked asterisks
🞵	*
🞶	*
🞷	*
🞸	*
🞹	*
🞺	*
# Eight spoked asterisks
🞻	*
🞼	*
🞽	*
🞾	*
🞿	*
# Three pointed stars
🟀	*
🟁	*
🟂	*
🟃	*
# Four pointed stars
🟄	+
🟅	+
🟆	+
🟇	+
🟈	+
# Five pointed stars
🟉	*
🟊	*
# Six pointed stars
🟋	*
🟌	*
🟍	*
# Eight pointed stars
🟎	*
🟏	*
🟐	*
🟑	*
# Twelve pointed stars
🟒	*
🟓	*
🟔	*
# Go stone markers
🟕	*
🟖	*
🟗	*
🟘	*
# Colored circles
🟠	*
🟡	*
🟢	*
🟣	*
🟤	*
# Colored squares
🟥	#
🟦	#
🟧	#
🟨	#
🟩	#
🟪	#
🟫	#
# Miscellaneous symbol
🟰	=
