# geometric shapes
# geometric shapes extended
■	#
□	#
▢	#
▣	#
▤	#
▥	#
▦	#
▧	#
▨	#
▩	#
▪	#
▫	#
▬	#
▭	#
▮	#
▯	#
▰	#
▱	#
▲	^
△	^
▴	^
▵	^
▶	>
▷	>
▸	>
▹	>
►	>
▻	>
▼	v
▽	v
▾	v
▿	v
◀	<
◁	<
◂	<
◃	<
◄	<
◅	<
◆	*
◇	*
◈	*
◉	*
◊	*
○	*
◌	*
◍	*
◎	*
●	*
◐	*
◑	*
◒	*
◓	*
◔	*
◕	*
◖	(
◗	)
◘	*
◙	*
◚	*
◛	*
◜	*
◝	*
◞	*
◟	*
◠	*
◡	*
◢	/
◣	\
◤	/
◥	\
◦	*
◧	#
◨	#
◩	#
◪	#
◫	#
◬	^
◭	^
◮	^
◯	*
#
◰	#
◱	#
◲	#
◳	#
◴	*
◵	*
◶	*
◷	*
#
◸	/
◹	\
◺	\
◻	#
◼	#
◽	#
◾	#
◿	/
#
🞀	<
🞁	^
🞂	>
🞃	v
#
🞄	*
#
🞅	*
🞆	*
🞇	*
🞈	*
🞉	*
#
🞊	*
#
🞋	*
#
🞌	*
🞍	*
#
🞎	#
🞏	#
🞐	#
🞑	#
🞒	#
🞓	#
#
🞔	#
🞕	#
#
🞖	#
#
🞗	*
🞘	*
🞙	*
#
🞚	*
🞛	*
#
🞜	*
#
🞝	*
🞞	*
🞟	*
#
🞠	*
#
🞡	+
🞢	+
🞣	+
🞤	+
🞥	+
🞦	+
🞧	+
#
🞨	x
🞩	x
🞪	x
🞫	x
🞬	x
🞭	x
🞮	x
#
🞯	*
🞰	*
🞱	*
🞲	*
🞳	*
🞴	*
#
🞵	*
🞶	*
🞷	*
🞸	*
🞹	*
🞺	*
#
🞻	*
🞼	*
🞽	*
🞾	*
🞿	*
#
🟀	*
🟁	*
🟂	*
🟃	*
#
🟄	+
🟅	+
🟆	+
🟇	+
🟈	+
#
🟉	*
🟊	*
#
🟋	*
🟌	*
🟍	*
#
🟎	*
🟏	*
🟐	*
🟑	*
#
🟒	*
🟓	*
🟔	*
#
🟕	*
🟖	*
🟗	*
🟘	*
#
🟠	*
🟡	*
🟢	*
🟣	*
🟤	*
#
🟥	#
🟦	#
🟧	#
🟨	#
🟩	#
🟪	#
🟫	#
