# national 2002/2011
ა	a
ბ	b
გ	g
დ	d
ე	e
ვ	v
ზ	z
თ	t
ი	i
კ	k'
ლ	l
მ	m
ნ	n
ო	o
პ	p'
ჟ	zh
რ	r
ს	s
ტ	t'
უ	u
ფ	p
ქ	k
ღ	gh
ყ	q'
შ	sh
ჩ	ch
ც	ts
ძ	dz
წ	ts'
ჭ	ch'
ხ	kh
ჯ	j
ჰ	h
# ala-lc 2011
ჱ	e
ჲ	y
ჴ	x
ჵ	o
ჳ	w
ჶ	f
ჷ	e
ჸ	`
# ossetic knab 1998
ჽ	ae
# abkhaz knab 1997
ჾ	`
ჿ	w
# https://unicode.org/wg2/docs/n2608r2.pdf
ჹ	g
ჺ	`
# punctuation
჻	*
# khutsuri
ⴀ	ა
ⴁ	ბ
ⴂ	გ
ⴃ	დ
ⴄ	ე
ⴅ	ვ
ⴆ	ზ
ⴇ	თ
ⴈ	ი
ⴉ	კ
ⴊ	ლ
ⴋ	მ
ⴌ	ნ
ⴍ	ო
ⴎ	პ
ⴏ	ჟ
ⴐ	რ
ⴑ	ს
ⴒ	ტ
ⴓ	უ
ⴔ	ფ
ⴕ	ქ
ⴖ	ღ
ⴗ	ყ
ⴘ	შ
ⴙ	ჩ
ⴚ	ც
ⴛ	ძ
ⴜ	წ
ⴝ	ჭ
ⴞ	ხ
ⴟ	ჯ
ⴠ	ჰ
ⴡ	ჱ
ⴢ	ჲ
ⴣ	ჳ
ⴤ	ჴ
ⴥ	ჵ
ⴧ	ჷ
ⴭ	ჽ
