# church slavonic knab 2012
ⰰ	a
ⰱ	b
ⰲ	v
ⰳ	g
ⰴ	d
ⰵ	e
ⰶ	zh
ⰷ	dz
ⰸ	z
ⰹ	i
ⰺ	j
ⰻ	i
ⰼ	g
ⰽ	k
ⰾ	l
ⰿ	m
ⱀ	n
ⱁ	o
ⱂ	p
ⱃ	r
ⱄ	s
ⱅ	t
ⱆ	u
ⱇ	f
ⱈ	h
ⱉ	o
ⱌ	c
ⱍ	ch
ⱎ	sh
ⱋ	sht
ⱏ	u
ⱐ	i
ⱑ	e
ⱓ	ju
ⱔ	e
ⱗ	je
ⱘ	o
ⱙ	jo
ⱚ	th
ⱛ	u
# https://unicode.org/L2/L2019/19288r-glagolitic-cerv.pdf
ⱟ	ⱍ
# https://academia.edu/23627560
ⱖ	ⱙ
# https://academia.edu/2500990
ⱊ	p
# https://academia.edu/24693144
ⱒ	ⱈ
# https://academia.edu/30684626
ⱝ	a
ⱞ	m
#
ⱜ	i
ⱕ	e
# Glagolitic Supplement
# https://unicode.org/charts/PDF/U1E000.pdf
# Combining letters
𞀀	ⰰ
𞀁	ⰱ
𞀂	ⰲ
𞀃	ⰳ
𞀄	ⰴ
𞀅	ⰵ
𞀆	ⰶ
𞀈	ⰸ
𞀉	ⰹ
𞀊	ⰺ
𞀋	ⰻ
𞀌	ⰼ
𞀍	ⰽ
𞀎	ⰾ
𞀏	ⰿ
𞀐	ⱀ
𞀑	ⱁ
𞀒	ⱂ
𞀓	ⱃ
𞀔	ⱄ
𞀕	ⱅ
𞀖	ⱆ
𞀗	ⱇ
𞀘	ⱈ
𞀛	ⱋ
𞀜	ⱌ
𞀝	ⱍ
𞀞	ⱎ
𞀟	ⱏ
𞀠	ⱐ
𞀡	ⱑ
𞀣	ⱓ
𞀤	ⱔ
𞀦	ⱖ
𞀧	ⱗ
𞀨	ⱘ
𞀩	ⱙ
𞀪	ⱚ
