# https://unicode.org/charts/PDF/UA980.pdf
# https://unicode.org/wg2/docs/n3319.pdf
# ala-lc 2011
#
# Various signs
ꦀ	m
ꦁ	ng
ꦂ	r
ꦃ	h
# Letters
ꦄ	a
ꦅ	i
ꦆ	i
ꦇ	i
ꦈ	u
ꦉ	re
ꦊ	le
ꦋ	lo
ꦌ	e
ꦍ	ai
ꦎ	o
ꦏ	k
ꦐ	q
ꦑ	kh
ꦒ	g
ꦓ	gh
ꦔ	ng
ꦕ	c
ꦖ	ch
ꦗ	j
ꦘ	jny
ꦙ	jh
ꦚ	ny
ꦛ	t
ꦜ	th
ꦝ	d
ꦞ	dh
ꦟ	n
ꦠ	t
ꦡ	th
ꦢ	d
ꦣ	dh
ꦤ	n
ꦥ	p
ꦦ	ph
ꦧ	b
ꦨ	bh
ꦩ	m
ꦪ	y
ꦫ	r
ꦬ	r
ꦭ	l
ꦮ	w
ꦯ	s
ꦰ	s
ꦱ	s
ꦲ	h
# Sign
꦳	'
# Dependent vowel signs
ꦴ	a
ꦵ	o
ꦶ	i
ꦷ	i
ꦸ	u
ꦹ	u
ꦺ	e
ꦻ	ai
ꦼ	e
# Dependent consonant signs
ꦽ	re
ꦾ	y
ꦿ	r
# Sign
꧀	
# Punctuation
꧁	<
꧂	>
꧃	@
꧄	@@
꧅	@@@
꧆	*
꧇	:
꧈	,
꧉	.
꧊	|
꧋	||
꧌	{
꧍	}
# Syllable reduplicator
ꧏ	-
# Ellipsis marks
꧞	^
꧟	~
