# https://unicode.org/charts/PDF/U11080.pdf
# https://unicode.org/L2/L2008/08194-n3389-kaithi.pdf
# https://unicode.org/L2/L2016/16097r-kaithi-comb-enum-sign.pdf
#
# Various signs
𑂀	m
𑂁	m
𑂂	h
# Independent vowels
𑂃	a
𑂄	a
𑂅	i
𑂆	i
𑂇	u
𑂈	u
𑂉	e
𑂊	ai
𑂋	o
𑂌	au
# Consonants
𑂍	k
𑂎	kh
𑂏	g
𑂐	gh
𑂑	n
𑂒	c
𑂓	ch
𑂔	j
𑂕	jh
𑂖	n
𑂗	t
𑂘	th
𑂙	d
𑂚	r
𑂛	dh
𑂜	rh
𑂝	n
𑂞	t
𑂟	th
𑂠	d
𑂡	dh
𑂢	n
𑂣	p
𑂤	ph
𑂥	b
𑂦	bh
𑂧	m
𑂨	y
𑂩	r
𑂪	l
𑂫	v
𑂬	s
𑂭	s
𑂮	s
𑂯	h
# Dependent vowel signs
𑂰	a
𑂱	i
𑂲	i
𑂳	u
𑂴	u
𑂵	e
𑂶	ai
𑂷	o
𑂸	au
# Virama
𑂹	
# Various signs
𑂺	'
𑂻	.
𑂼	#
𑂽	#
# Punctuation
𑂾	,
𑂿	.
𑃀	,
𑃁	.
# Vowel Sign
# https://unicode.org/L2/L2020/20151-kaithi-vowel-sign-vocalic-r.pdf
𑃂	r
# Sign
𑃍	#
