# bgn/pcgn 1976
# ala-lc 2012
## -
ア	a
イ	i
ウ	u
エ	e
オ	o
## k
カ	ka
ガ	ga
キ	ki
ギ	gi
ク	ku
グ	gu
ケ	ke
ゲ	ge
コ	ko
ゴ	go
## s
サ	sa
ザ	za
シ	shi
ジ	ji
ス	su
ズ	zu
セ	se
ゼ	ze
ソ	so
ゾ	zo
## t
タ	ta
ダ	da
チ	chi
ヂ	ji
ツ	tsu
ヅ	zu
テ	te
デ	de
ト	to
ド	do
## n
ナ	na
ニ	ni
ヌ	nu
ネ	ne
ノ	no
## h
ハ	ha
バ	ba
パ	pa
ヒ	hi
ビ	bi
ピ	pi
フ	fu
ブ	bu
プ	pu
ヘ	he
ベ	be
ペ	pe
ホ	ho
ボ	bo
ポ	po
## m
マ	ma
ミ	mi
ム	mu
メ	me
モ	mo
## y
ヤ	ya
ユ	yu
ヨ	yo
## r
ラ	ra
リ	ri
ル	ru
レ	re
ロ	ro
## w
ワ	wa
ヰ	i
ヱ	e
ヲ	o
## n
ン	n
# v
ヴ	vu
# v
ヷ	va
ヸ	vi
ヹ	ve
ヺ	vo
# voicing marks
゙	'
゚	`
゛	'
゜	`
# iteration marks
ゝ	-
ヽ	-
〱	<
〲	<'
〳	/
〴	/'
〵	\
# other
𛀀	e
゠	=
・	-
ー	
# CJK Compatibility
# https://unicode.org/charts/PDF/U3300.pdf
# https://blogs.adobe.com/CCJKType/2016/03/bahts-is-parts.html
㌀	apartment
㌁	alpha
㌂	ampere
㌃	are
㌄	inning
㌅	inch
㌆	won
㌇	escudo
㌈	acre
㌉	ounce
㌊	ohm
㌋	kai-ri
㌌	carat
㌍	calorie
㌎	gallon
㌏	gamma
㌐	giga
㌑	guinea
㌒	curie
㌓	guilder
㌔	kilo
㌕	kilogram
㌖	kilometer
㌗	kilowatt
㌘	gram
㌙	gram ton
㌚	cruzeiro
㌛	krone
㌜	case
㌝	koruna
㌞	co-op
㌟	cycle
㌠	centime
㌡	shilling
㌢	centi
㌣	cent
㌤	dozen
㌥	deci
㌦	dollar
㌧	ton
㌨	nano
㌩	knot
㌪	heights
㌫	percent
㌬	parts
㌭	barrel
㌮	piaster
㌯	picul
㌰	pico
㌱	building
㌲	farad
㌳	feet
㌴	bushel
㌵	franc
㌶	hectare
㌷	peso
㌸	pfennig
㌹	hertz
㌺	pence
㌻	page
㌼	beta
㌽	point
㌾	volt
㌿	hon
㍀	pound
㍁	hall
㍂	horn
㍃	micro
㍄	mile
㍅	mach
㍆	mark
㍇	mansion
㍈	micron
㍉	milli
㍊	millibar
㍋	mega
㍌	megaton
㍍	meter
㍎	yard
㍏	yard
㍐	yuan
㍑	liter
㍒	lira
㍓	rupee
㍔	ruble
㍕	rem
㍖	roentgen
㍗	watt
