# https://en.wikipedia.org/wiki/Kangxi_radical
#
# kangxi radicals
# https://www.unicode.org/charts/PDF/U2F00.pdf
⼀	Yi
⼁	Gun
⼂	Zhu
⼃	Pie
⼄	Yi
⼅	Jue
⼆	Er
⼇	Tou
⼈	Ren
⼉	Er
⼊	Ru
⼋	Ba
⼌	Jiong
⼍	Mi
⼎	Bing
⼏	Ji
⼐	Kan
⼑	Dao
⼒	Li
⼓	Bao
⼔	Bi
⼕	Fang
⼖	Xi
⼗	Shi
⼘	Bu
⼙	Jie
⼚	Han
⼛	Si
⼜	You
⼝	Kou
⼞	Wei
⼟	Tu
⼠	Shi
⼡	Zhi
⼢	Sui
⼣	Xi
⼤	Da
⼥	Nu
⼦	Zi
⼧	Mian
⼨	Cun
⼩	Xiao
⼪	Wang
⼫	Shi
⼬	Che
⼭	Shan
⼮	Chuan
⼯	Gong
⼰	Ji
⼱	Jin
⼲	Gan
⼳	Yao
⼴	Guang
⼵	Yin
⼶	Gong
⼷	Yi
⼸	Gong
⼹	Ji
⼺	Shan
⼻	Chi
⼼	Xin
⼽	Ge
⼾	Hu
⼿	Shou
⽀	Zhi
⽁	Pu
⽂	Wen
⽃	Dou
⽄	Jin
⽅	Fang
⽆	Wu
⽇	Ri
⽈	Yue
⽉	Yue
⽊	Mu
⽋	Qian
⽌	Zhi
⽍	Dai
⽎	Shu
⽏	Wu
⽐	Bi
⽑	Mao
⽒	Shi
⽓	Qi
⽔	Shui
⽕	Huo
⽖	Zhao
⽗	Fu
⽘	Yao
⽙	Qiang
⽚	Pian
⽛	Ya
⽜	Niu
⽝	Quan
⽞	Xuan
⽟	Yu
⽠	Gua
⽡	Wa
⽢	Gan
⽣	Sheng
⽤	Yong
⽥	Tian
⽦	Pi
⽧	Ne
⽨	Bo
⽩	Bai
⽪	Pi
⽫	Min
⽬	Mu
⽭	Mao
⽮	Shi
⽯	Shi
⽰	Shi
⽱	Rou
⽲	He
⽳	Xue
⽴	Li
⽵	Zhu
⽶	Mi
⽷	Mi
⽸	Fou
⽹	Wang
⽺	Yang
⽻	Yu
⽼	Lao
⽽	Er
⽾	Lei
⽿	Er
⾀	Yu
⾁	Rou
⾂	Chen
⾃	Zi
⾄	Zhi
⾅	Jiu
⾆	She
⾇	Chuan
⾈	Zhou
⾉	Gen
⾊	Se
⾋	Cao
⾌	Hu
⾍	Chong
⾎	Xue
⾏	Xing
⾐	Yi
⾑	Ya
⾒	Jian
⾓	Jiao
⾔	Yan
⾕	Gu
⾖	Dou
⾗	Shi
⾘	Zhi
⾙	Bei
⾚	Chi
⾛	Zou
⾜	Zu
⾝	Shen
⾞	Che
⾟	Xin
⾠	Chen
⾡	Chuo
⾢	Yi
⾣	You
⾤	Bian
⾥	Li
⾦	Jin
⾧	Chang
⾨	Men
⾩	Fu
⾪	Li
⾫	Zhui
⾬	Yu
⾭	Qing
⾮	Fei
⾯	Mian
⾰	Ge
⾱	Wei
⾲	Jiu
⾳	Yin
⾴	Ye
⾵	Feng
⾶	Fei
⾷	Shi
⾸	Shou
⾹	Xiang
⾺	Ma
⾻	Gu
⾼	Gao
⾽	Biao
⾾	Dou
⾿	Chang
⿀	Li
⿁	Gui
⿂	Yu
⿃	Niao
⿄	Lu
⿅	Lu
⿆	Mai
⿇	Ma
⿈	Huang
⿉	Shu
⿊	Hei
⿋	Zhi
⿌	Min
⿍	Ding
⿎	Gu
⿏	Shu
⿐	Bi
⿑	Qi
⿒	Chi
⿓	Long
⿔	Gui
⿕	Yue
# cjk radicals
# https://www.unicode.org/charts/PDF/U2E80.pdf
⺀	Bing
⺁	Han
⺂	Yi
⺃	Yi
⺄	Yi
⺅	Ren
⺆	Fang
⺇	Ji
⺈	Dao
⺉	Dao
⺊	Bu
⺋	Jie
⺌	Xiao
⺍	Xiao
⺎	Wang
⺏	Wang
⺐	Wang
⺑	Wang
⺒	Ji
⺓	Yao
⺔	Ji
⺕	Ji
⺖	Xin
⺗	Xin
⺘	Shou
⺙	Pu
⺛	Wu
⺜	Ri
⺝	Yue
⺞	Dai
⺟	Wu
⺠	Shi
⺡	Shui
⺢	Shui
⺣	Huo
⺤	Zhao
⺥	Zhao
⺦	Qiang
⺧	Niu
⺨	Quan
⺩	Yu
⺪	Pi
⺫	Mu
⺬	Shi
⺭	Shi
⺮	Zhu
⺯	Mi
⺰	Mi
⺱	Wang
⺲	Wang
⺳	Wang
⺴	Wang
⺵	Wang
⺶	Yang
⺷	Yang
⺸	Yang
⺹	Lao
⺺	Yu
⺻	Yu
⺼	Rou
⺽	Jiu
⺾	Cao
⺿	Cao
⻀	Cao
⻁	Hu
⻂	Yi
⻃	Ya
⻄	Ya
⻅	Jian
⻆	Jiao
⻇	Jiao
⻈	Yan
⻉	Bei
⻊	Zu
⻋	Che
⻌	Chuo
⻍	Chuo
⻎	Chuo
⻏	Yi
⻐	Jin
⻑	Chang
⻒	Chang
⻓	Chang
⻔	Men
⻕	Fu
⻖	Fu
⻗	Yu
⻘	Qing
⻙	Wei
⻚	Ye
⻛	Feng
⻜	Fei
⻝	Shi
⻞	Shi
⻟	Shi
⻠	Shi
⻡	Shou
⻢	Ma
⻣	Gu
⻤	Gui
⻥	Yu
⻦	Niao
⻧	Lu
⻨	Mai
⻩	Huang
⻪	Min
⻬	Qi
⻮	Chi
⻰	Long
⻱	Gui
⻳	Gui
# japanese
⻫	Sei
⻭	Ha
⻯	Ryu
⻲	Kame
