# https://unicode.org/charts/PDF/U0C80.pdf
#
# iso 15919
ಂ	m
ಃ	h
ಅ	a
ಆ	a
ಇ	i
ಈ	i
ಉ	u
ಊ	u
ಋ	r
ಌ	l
ಎ	e
ಏ	e
ಐ	ai
ಒ	o
ಓ	o
ಔ	au
ಕ	k
ಖ	kh
ಗ	g
ಘ	gh
ಙ	n
ಚ	c
ಛ	ch
ಜ	j
ಝ	jh
ಞ	n
ಟ	t
ಠ	th
ಡ	d
ಢ	dh
ಣ	n
ತ	t
ಥ	th
ದ	d
ಧ	dh
ನ	n
ಪ	p
ಫ	ph
ಬ	b
ಭ	bh
ಮ	m
ಯ	y
ರ	r
ಱ	r
ಲ	l
ಳ	l
ವ	v
ಶ	s
ಷ	s
ಸ	s
ಹ	h
ಽ	'
ಾ	a
ಿ	i
ೀ	i
ು	u
ೂ	u
ೃ	r
ೄ	r
ೆ	e
ೇ	e
ೈ	ai
ೊ	o
ೋ	o
ೌ	au
ೞ	l
ೠ	r
ೡ	l
ೢ	l
ೣ	l
ೱ	h
ೲ	h
# Various signs
ಀ	m
ಁ	m
಄	*
# Various signs
಼	'
# Virama
್	
# Various signs
ೕ	'
ೖ	i
# Additional consonants
# https://unicode.org/L2/L2020/20228r-kannada-nakaara-pollu.pdf
ೝ	n
# Signs used in Sanskrit
# https://unicode.org/L2/L2021/21114-kannada-sign-anusvara.pdf
ೳ	m
