# https://unicode.org/charts/PDF/U11F00.pdf
# https://unicode.org/L2/L2020/20284r-kawi.pdf
#
# Signs
𑼀	m
𑼁	ng
𑼂	r
𑼃	h
# Independent vowels
𑼄	a
𑼅	a
𑼆	i
𑼇	i
𑼈	u
𑼉	u
𑼊	re
𑼋	ro
𑼌	le
𑼍	lo
𑼎	e
𑼏	ai
𑼐	o
# Consonants
𑼒	k
𑼓	kh
𑼔	g
𑼕	gh
𑼖	ng
𑼗	c
𑼘	ch
𑼙	j
𑼚	jh
𑼛	ny
𑼜	t
𑼝	th
𑼞	d
𑼟	dh
𑼠	n
𑼡	t
𑼢	th
𑼣	d
𑼤	dh
𑼥	n
𑼦	p
𑼧	ph
𑼨	b
𑼩	bh
𑼪	m
𑼫	y
𑼬	r
𑼭	l
𑼮	w
𑼯	s
𑼰	s
𑼱	s
𑼲	h
𑼳	jny
# Dependent vowel signs
𑼴	a
𑼵	a
𑼶	i
𑼷	i
𑼸	u
𑼹	u
𑼺	re
𑼾	e
𑼿	ai
𑽀	e
# Viramas
𑽁	
𑽂	
# Punctuation
𑽃	,
𑽄	.
𑽅	#
𑽆	#
𑽇	*
𑽈	-
𑽉	:
𑽊	:
𑽋	:
𑽌	*
𑽍	*
𑽎	@
𑽏	@
