# https://babelstone.co.uk/Khitan/Kane2009List.html
𘬀	-
#𘬁	_
𘬂	20
#𘬃	_
#𘬄	_
#𘬅	_
𘬆	ts
#𘬇	_
#𘬈	_
#𘬉	_
#𘬊	_
#𘬋	_
𘬌	8
𘬍	8
#𘬎	_
#𘬏	_
𘬐	an
#𘬑	_
#𘬒	_
𘬓	hur
#𘬔	_
𘬕	jau
#𘬖	_
𘬗	od
𘬘	so
#𘬙	_
𘬚	in
𘬛	iu
𘬜	ei
𘬝	mo
𘬞	cau
#𘬟	_
𘬠	iu
𘬡	er
𘬢	xi
𘬣	1
𘬤	1
𘬥	s
𘬦	5
𘬧	5
𘬨	ts
𘬩	ten
𘬪	9
𘬫	9
#𘬬	_
𘬭	xu
𘬮	di
#𘬯	_
𘬰	kai
𘬱	zai
#𘬲	_
#𘬳	_
#𘬴	_
#𘬵	_
#𘬶	_
𘬷	ka
#𘬸	_
#𘬹	_
#𘬺	_
#𘬻	_
#𘬼	_
#𘬽	_
𘬾	hor
𘬿	nen
#𘭀	_
𘭁	li
𘭂	ha
#𘭃	_
#𘭄	_
𘭅	qa
𘭆	mu
#𘭇	_
#𘭈	_
#𘭉	_
𘭊	xo
𘭋	mi
𘭌	uni
𘭍	ke
𘭎	ke
𘭏	iang
#𘭐	_
𘭑	lu
#𘭒	_
#𘭓	_
𘭔	tu
𘭕	eu
𘭖	us
𘭗	ri
𘭘	w
𘭙	ong
𘭚	deu
𘭛	en
𘭜	tir
𘭝	hong
𘭞	ho
#𘭟	_
#𘭠	_
#𘭡	_
𘭢	ii
#𘭣	_
#𘭤	_
#𘭥	_
#𘭦	_
#𘭧	_
𘭨	y
𘭩	ss
𘭪	ra
#𘭫	_
𘭬	6
𘭭	6
#𘭮	_
𘭯	tz
#𘭰	_
𘭱	zu
𘭲	o
#𘭳	_
𘭴	yu
𘭵	ge
𘭶	ud
𘭷	ung
𘭸	oi
#𘭹	_
𘭺	e
#𘭻	_
#𘭼	_
𘭽	ge
𘭾	i
𘭿	i
𘮀	da
#𘮁	_
#𘮂	_
#𘮃	_
𘮄	qu
𘮅	al
#𘮆	_
𘮇	ad
𘮈	en
𘮉	deu
𘮊	cu
𘮋	us
#𘮌	_
#𘮍	_
#𘮎	_
𘮏	tz
#𘮐	_
#𘮑	_
𘮒	ur
#𘮓	_
#𘮔	_
#𘮕	_
#𘮖	_
𘮗	po
𘮘	ang
#𘮙	_
𘮚	fei
𘮛	k
#𘮜	_
#𘮝	_
#𘮞	_
#𘮟	_
𘮠	bun
𘮡	iu
𘮢	an
#𘮣	_
#𘮤	_
#𘮥	_
𘮦	sio
𘮧	p
#𘮨	_
#𘮩	_
𘮪	pu
𘮫	co
#𘮬	_
𘮭	80
#𘮮	_
𘮯	il
𘮰	ing
𘮱	go
𘮲	ro
#𘮳	_
#𘮴	_
#𘮵	_
𘮶	ho
#𘮷	_
#𘮸	_
#𘮹	_
#𘮺	_
#𘮻	_
#𘮼	_
𘮽	b
𘮾	10000
#𘮿	_
#𘯀	iang
𘯁	iang
#𘯂	_
#𘯃	_
#𘯄	_
#𘯅	_
𘯆	go
#𘯇	_
#𘯈	_
#𘯉	_
#𘯊	_
#𘯋	_
𘯌	yo
𘯍	yo
𘯎	on
𘯏	qi
𘯐	uan
𘯑	den
#𘯒	_
#𘯓	_
#𘯔	_
#𘯕	_
𘯖	au
𘯗	gu
#𘯘	_
𘯙	3
𘯚	3
𘯛	qo
𘯜	qo
𘯝	bai
𘯞	da
𘯟	uh
#𘯠	_
𘯡	eng
𘯢	as
𘯣	bu
𘯤	ra
𘯥	ku
#𘯦	_
#𘯧	_
𘯨	ud
𘯩	sh
#𘯪	_
#𘯫	_
#𘯬	_
#𘯭	_
#𘯮	_
#𘯯	_
𘯰	iung
#𘯱	_
𘯲	car
#𘯳	_
𘯴	am
𘯵	am
𘯶	o
#𘯷	_
𘯸	10000
𘯹	zo
𘯺	a
𘯻	a
#𘯼	_
𘯽	mu
𘯾	si
#𘯿	_
#𘰀	_
𘰁	u
𘰂	bu
#𘰃	_
𘰄	ae
#𘰅	_
𘰆	ang
#𘰇	_
#𘰈	_
#𘰉	_
𘰊	tu
#𘰋	_
#𘰌	_
𘰍	de
𘰎	li
#𘰏	_
𘰐	lu
#𘰑	_
𘰒	au
𘰓	mu
#𘰔	_
𘰕	n
#𘰖	_
𘰗	mu
𘰘	bi
𘰙	u
#𘰚	_
#𘰛	_
𘰜	lo
𘰝	ta
𘰞	jin
#𘰟	_
#𘰠	_
𘰡	ku
𘰢	reng
𘰣	ri
#𘰤	_
𘰥	ur
𘰦	du
#𘰧	_
𘰨	ba
𘰩	pu
𘰪	fu
𘰫	u
𘰬	heu
𘰭	n
𘰮	o
𘰯	10
#𘰰	_
𘰱	cen
#𘰲	_
#𘰳	_
𘰴	d
𘰵	mu
#𘰶	_
𘰷	s
#𘰸	_
𘰹	qu
𘰺	t
𘰻	du
𘰼	o
𘰽	or
#𘰾	_
#𘰿	_
𘱀	em
𘱁	z
𘱂	hur
𘱃	dur
𘱄	l
#𘱅	_
𘱆	ui
𘱇	ui
#𘱈	_
#𘱉	_
𘱊	ng
#𘱋	_
𘱌	60
#𘱍	_
#𘱎	_
𘱏	xi
#𘱐	_
𘱑	em
#𘱒	_
𘱓	ie
𘱔	ong
𘱕	un
𘱖	z
𘱗	neu
𘱘	nai
𘱙	qatun
𘱚	g
𘱛	ia
#𘱜	_
#𘱝	_
𘱞	j
#𘱟	_
#𘱠	_
#𘱡	_
𘱢	i'i
#𘱣	_
𘱤	i
𘱥	x
𘱦	er
#𘱧	_
#𘱨	_
#𘱩	_
𘱪	ud
𘱫	ung
#𘱬	_
𘱭	oi
𘱮	e
𘱯	ge
#𘱰	_
#𘱱	_
𘱲	i
𘱳	i
𘱴	dz
𘱵	ordu
𘱶	ung
𘱷	pong
𘱸	en
𘱹	iau
#𘱺	_
#𘱻	_
#𘱼	_
#𘱽	_
#𘱾	_
𘱿	qid
𘲀	ul
𘲁	zung
𘲂	4
𘲃	4
#𘲄	_
#𘲅	_
𘲆	u
#𘲇	_
𘲈	tai
𘲉	ca
#𘲊	_
𘲋	oh
𘲌	dau
#𘲍	_
#𘲎	_
#𘲏	_
𘲐	ai
𘲑	ar
#𘲒	_
𘲓	io
#𘲔	_
𘲕	an
#𘲖	_
#𘲗	_
𘲘	xa
#𘲙	_
𘲚	u
#𘲛	_
𘲜	m
𘲝	2
𘲞	2
#𘲟	_
#𘲠	_
𘲡	do
𘲢	ren
𘲣	iu
𘲤	na
#𘲥	_
𘲦	en
#𘲧	_
#𘲨	_
#𘲩	_
𘲪	xua
𘲫	un
𘲬	40
𘲭	giu
𘲮	ju
𘲯	ju
𘲰	ju
𘲱	ja
𘲲	hu
𘲳	ji
𘲴	ji
𘲵	on
𘲶	50
#𘲷	_
#𘲸	_
#𘲹	_
#𘲺	_
𘲻	gio
𘲼	au
𘲽	c
𘲾	ki
#𘲿	_
𘳀	30
#𘳁	_
#𘳂	_
𘳃	to
𘳄	da
#𘳅	_
#𘳆	_
𘳇	do
𘳈	doro
#𘳉	_
𘳊	da
#𘳋	_
#𘳌	_
𘳍	ia
#𘳎	_
#𘳏	_
#𘳐	_
#𘳑	_
#𘳒	_
#𘳓	_
𘳔	bu
𘳕	un
