# https://unicode.org/charts/PDF/U1780.pdf
# https://unicode.org/versions/Unicode14.0.0/ch16.pdf
#
# ungegn 2013 provisional 1997
## I
ក	k
ខ	kh
គ	k
ឃ	kh
ង	ng
ច	ch
ឆ	chh
ជ	ch
ឈ	chh
ញ	nh
ដ	d
ឋ	th
ឌ	d
ឍ	th
ណ	n
ត	t
ថ	th
ទ	t
ធ	th
ន	n
ប	b
ផ	ph
ព	p
ភ	ph
ម	m
យ	y
រ	r
ល	l
វ	v
ស	s
ហ	h
ឡ	l
អ	'
## III
ឥ	e
ឦ	ei
ឧ	o
ឩ	ou
ឪ	au
ឫ	rue
ឬ	rueu
ឭ	lue
ឮ	lueu
ឯ	ae
ឰ	ai
ឱ	ao
ឲ	ao
ឳ	ov
## IV
ា	a
ិ	e
ី	ei
ឹ	oe
ឺ	eu
ុ	o
ូ	ou
ួ	uo
ើ	aeu
ឿ	oea
ៀ	ie
េ	e
ែ	ae
ៃ	ai
ោ	ao
ៅ	au
## V
់	a
័	a
ំ	am
ះ	ah
ៈ	ak
## notes
### 2
៊	
៉	
### 7
៌	r
### 8
៏	
### 9
៍	
### 10
ឨ	o
# Consonants
ឝ	s
ឞ	s
# Deprecated independent vowels for transliteration
ឣ	អ
ឤ	អា
# Inherent vowels
឴	
឵	
# Various signs
៎	!
៑	
្	
# Lunar date sign
៓	
# Various signs
។	.
៕	#
៖	:
ៗ	-
៘	-Lo-
៙	*
៚	@
# Currency symbol
៛	CR
# Various signs
ៜ	'
៝	
# Khmer Symbols
# https://unicode.org/charts/PDF/U19E0.pdf
# Lunar date symbols
᧠	08
᧡	1.
᧢	2.
᧣	3.
᧤	4.
᧥	5.
᧦	6.
᧧	7.
᧨	8.
᧩	9.
᧪	10.
᧫	11.
᧬	12.
᧭	13.
᧮	14.
᧯	15.
᧰	88
᧱	.1
᧲	.2
᧳	.3
᧴	.4
᧵	.5
᧶	.6
᧷	.7
᧸	.8
᧹	.9
᧺	.10
᧻	.11
᧼	.12
᧽	.13
᧾	.14
᧿	.15
