# https://unicode.org/charts/PDF/U0E80.pdf
#
# bgn/pcgn  1966
## inital consonants
ກ	k
ຂ	kh
ຄ	kh
ງ	ng
ຈ	ch
ສ	s
ຊ	x
ຍ	gn
ດ	d
ຕ	t
ຖ	th
ທ	th
ນ	n
ບ	b
ປ	p
ຜ	ph
ຝ	f
ພ	ph
ຟ	f
ມ	m
ຢ	y
ຣ	r
ລ	l
ຼ	l
ວ	v
ຫ	h
ອ	
ຮ	h
## vowels
ະ	a
ັ	a
າ	a
ິ	i
ີ	i
ຶ	u
ື	u
ຸ	ou
ູ	ou
ເ	e
ແ	e
ົ	o
ໂ	o
ໍ	o
ໄ	ai
ໃ	ai
ຳ	am
## notes
### 3
່	
້	
໊	
໋	
### 5
ໜ	n
ໝ	m
### 7
ຽ	y
# other
ຯ	...
ໆ	-
໌	
# https://unicode.org/wg2/docs/n4861-17106r-lao-for-pali.pdf
ຆ	gh
ຉ	ch
ຌ	jh
ຎ	n
ຏ	t
ຐ	th
ຑ	d
ຒ	dh
ຓ	n
ຘ	dh
ຠ	bh
ຨ	s
ຩ	s
ຬ	l
຺	
# https://unicode.org/wg2/docs/n3893.pdf
ໞ	g
ໟ	ຍ
