# https://unicode.org/charts/PDF/U0080.pdf
Æ	Ae
Ð	D
Ø	O
Þ	Th
ß	ss
# https://unicode.org/charts/PDF/U0100.pdf
Đ	D
Ħ	H
ı	i
ĸ	q
Ŀ	L
Ł	L
Ŋ	Ng
Œ	Oe
Ŧ	T
# https://unicode.org/charts/PDF/U0180.pdf
Ɓ	B
Ƃ	B
Ƅ	6
Ɔ	O
Ƈ	C
Ɖ	D
Ɗ	D
Ƌ	D
ƍ	z
Ǝ	E
Ə	e
Ɛ	E
Ƒ	F
Ɠ	G
Ɣ	G
Ɩ	I
Ɨ	I
Ƙ	K
ƛ	l
Ɯ	W
Ɲ	N
Ɵ	O
Ƣ	Gh
Ƥ	P
Ʀ	R
Ƨ	2
Ʃ	Sh
ƪ	sh
ƫ	t
Ƭ	T
Ʈ	T
Ʊ	U
Ʋ	V
Ƴ	Y
Ƶ	Z
Ʒ	Zh
Ƹ	`
ƺ	zh
ƻ	dz
Ƽ	5
ƾ	ts
ǀ	|
ǁ	||
ǂ	=
ǃ	!
Ǥ	G
Ƕ	Hw
Ƿ	W
Ȝ	Y
Ƞ	N
ȡ	d
Ȣ	Ou
Ȥ	Z
ȴ	l
ȵ	n
ȶ	t
ȷ	j
ȸ	db
ȹ	qp
Ⱥ	A
Ȼ	C
Ƚ	L
Ⱦ	T
Ɂ	'
Ƀ	B
Ʉ	U
Ʌ	V
Ɇ	E
Ɉ	J
Ɋ	Q
Ɍ	R
Ɏ	Y
# https://unicode.org/charts/PDF/U0250.pdf
ɕ	c
ɘ	e
ɚ	er
ɝ	er
ɞ	e
ɟ	j
ɢ	G
ɤ	u
ɧ	h
ɪ	I
ɭ	l
ɮ	lzh
ɰ	m
ɳ	n
ɴ	N
ɶ	Oe
ɷ	o
ɸ	f
ɹ	r
ɺ	r
ɻ	r
ɼ	r
ɾ	r
ɿ	r
ʀ	R
ʁ	R
ʄ	j
ʅ	r
ʆ	sh
ʍ	w
ʎ	y
ʏ	Y
ʐ	z
ʑ	z
ʓ	zh
ʔ	'
ʕ	`
ʖ	x
ʗ	c
ʘ	@
ʙ	B
ʚ	e
ʛ	G
ʜ	H
ʟ	L
ʠ	q
ʡ	'
ʢ	`
ʣ	dz
ʤ	dzh
ʥ	dz
ʦ	ts
ʧ	tsh
ʨ	tc
ʩ	fng
ʪ	ls
ʫ	lz
ʬ	ww
ʭ	]]
ʮ	h
ʯ	h
# https://unicode.org/charts/PDF/U1D00.pdf
ᴀ	A
ᴁ	Ae
ᴂ	ae
ᴃ	B
ᴄ	C
ᴅ	D
ᴆ	D
ᴇ	E
ᴈ	e
ᴉ	i
ᴊ	J
ᴋ	K
ᴌ	L
ᴍ	M
ᴎ	N
ᴏ	O
ᴐ	O
ᴑ	o
ᴒ	o
ᴓ	o
ᴔ	oe
ᴕ	Ou
ᴖ	o
ᴗ	o
ᴘ	P
ᴙ	R
ᴚ	R
ᴛ	T
ᴜ	U
ᴝ	u
ᴞ	u
ᴟ	m
ᴠ	V
ᴡ	W
ᴢ	Z
ᴣ	Zh
ᴤ	`
ᴥ	`
ᴯ	B
ᴻ	N
ᵎ	i
ᵫ	ue
# https://unicode.org/wg2/docs/n2632.pdf
ᵬ	b
ᵭ	d
ᵮ	f
ᵯ	m
ᵰ	n
ᵱ	p
ᵲ	r
ᵳ	r
ᵴ	s
ᵵ	t
ᵶ	z
#
ᵷ	g
ᵺ	th
ᵻ	I
ᵼ	i
ᵾ	U
ᵿ	u
# https://unicode.org/charts/PDF/U1D80.pdf
ᶀ	b
ᶁ	d
ᶂ	f
ᶃ	g
ᶄ	k
ᶅ	l
ᶆ	m
ᶇ	n
ᶈ	p
ᶉ	r
ᶊ	s
ᶋ	sh
ᶌ	v
ᶍ	x
ᶏ	a
ᶐ	a
ᶑ	d
ᶒ	e
ᶓ	e
ᶔ	e
ᶕ	e
ᶖ	i
ᶗ	o
ᶘ	sh
ᶙ	u
ᶚ	zh
# https://unicode.org/charts/PDF/U1E00.pdf
# https://unicode.org/wg2/docs/n3027.pdf
ẜ	s.
ẝ	s.
#
ẞ	Ss
ẟ	d
# https://unicode.org/wg2/docs/n3027.pdf
Ỻ	Ll
Ỽ	V
Ỿ	Y
# https://unicode.org/charts/PDF/U2C60.pdf
Ⱡ	L
Ɫ	L
Ᵽ	P
Ɽ	R
Ⱨ	H
Ⱪ	K
Ⱬ	Z
Ɑ	A
Ɱ	M
Ɐ	A
Ɒ	A
ⱱ	v
Ⱳ	W
ⱴ	v
Ⱶ	H
ⱷ	o
ⱸ	e
ⱹ	r
ⱺ	o
ⱻ	E
Ȿ	S
Ɀ	Z
# https://unicode.org/charts/PDF/UA720.pdf
Ꜣ	'
Ꜥ	`
# https://unicode.org/L2/L2006/06121-n3082-tresillo.pdf
Ꜧ	H
Ꜩ	Tz
Ꜫ	3
Ꜭ	4
Ꜯ	4,
# https://unicode.org/wg2/docs/n3027.pdf
ꜰ	F
ꜱ	S
Ꜳ	Aa
Ꜵ	Ao
Ꜷ	Au
Ꜹ	Av
Ꜻ	Av
Ꜽ	Ay
Ꜿ	C.
Ꝁ	K.
Ꝃ	K.
Ꝅ	K.
Ꝇ	L
Ꝉ	L.
Ꝋ	O.
Ꝍ	O
Ꝏ	Oo
Ꝑ	P.
Ꝓ	P.
Ꝕ	P.
Ꝗ	Q.
Ꝙ	Q.
Ꝛ	R
Ꝝ	R.
Ꝟ	V.
Ꝡ	Vy
Ꝣ	Z
Ꝥ	Th.
Ꝧ	Th.
Ꝩ	V
Ꝫ	&
Ꝭ	S.
Ꝯ	'
ꝱ	d.
ꝲ	l.
ꝳ	m.
ꝴ	n.
ꝵ	r.
ꝶ	R.
ꝷ	t.
ꝸ	s.
# https://unicode.org/L2/L2006/06266-n3122-insular.pdf
Ꝺ	D
Ꝼ	F
Ᵹ	G
Ꝿ	Ng
Ꞁ	Ll
Ꞃ	R
Ꞅ	S
Ꞇ	T
#
Ꞌ	'
Ɥ	H
ꞎ	l
ꞏ	-
Ꞑ	N
Ꞓ	C
ꞕ	h
Ꞗ	B
Ꞙ	F
Ꞛ	Ae
Ꞝ	Oe
Ꞟ	Ue
Ꞡ	G
Ꞣ	K
Ꞥ	N
Ꞧ	R
Ꞩ	S
Ɦ	H
Ɜ	E
Ɡ	G
Ɬ	L
Ɪ	I
ꞯ	Q
Ʞ	K
Ʇ	T
Ʝ	J
Ꭓ	X
Ꞵ	B
Ꞷ	O
# https://unicode.org/L2/L2014/14201-latin-add.pdf
Ꞹ	U
# https://unicode.org/L2/L2017/17076r2-n4792r2-egyptological-yod.pdf
Ꞻ	A
Ꞽ	I
Ꞿ	U
# https://unicode.org/L2/L2021/21039-old-polish-o.pdf
Ꟁ	O
# https://unicode.org/L2/L2017/17238-n4838-anglicana-w.pdf
Ꟃ	W
#
Ꞔ	C
Ʂ	S
Ᶎ	Z
Ꟈ	D
Ꟊ	S
# https://unicode.org/wg2/docs/n5145-ormulum.pdf
Ꟑ	G
ꟓ	thth
ꟕ	ww
# https://unicode.org/wg2/docs/n5144-middle-scots-s.pdf
Ꟗ	S
# https://unicode.org/wg2/docs/n5146-sigmoid-s.pdf
Ꟙ	S
#
Ꟶ	H
ꟷ	I
# https://unicode.org/L2/L2009/09028-n3571-upa-additions.pdf
ꟺ	W
# https://unicode.org/L2/L2006/06269-add-roman.pdf
ꟻ	F
ꟼ	P
ꟽ	M
ꟾ	I
ꟿ	M'
# https://unicode.org/charts/PDF/UAB30.pdf
ꬰ	a
ꬱ	ae
ꬲ	e
ꬳ	e
ꬴ	e
ꬵ	f
ꬶ	g
ꬷ	l
ꬸ	l
ꬹ	l
ꬺ	m
ꬻ	n
ꬼ	ng
ꬽ	o
ꬾ	o
ꬿ	o
ꭀ	oe
ꭁ	oe
ꭂ	oe
ꭃ	oo
ꭄ	oo
ꭅ	r
ꭆ	R
ꭇ	r
ꭈ	rr
ꭉ	r
ꭊ	rr
ꭋ	r
ꭌ	r
ꭍ	sh
ꭎ	u
ꭏ	u
ꭐ	ui
ꭑ	ui
ꭒ	u
ꭔ	x
ꭕ	x
ꭖ	x
ꭗ	x
ꭘ	x
ꭙ	x
ꭚ	y
# https://unicode.org/L2/L2012/12044-yakut.pdf
ꭠ	ia
ꭡ	ie
ꭢ	oe
ꭣ	uo
#
ꭤ	a
ꭦ	dz
ꭧ	ts
ꭨ	r
# https://unicode.org/charts/PDF/U10780.pdf
𐞀	AA
# https://unicode.org/charts/PDF/U1DF00.pdf
## Extended IPA for disordered speech
𝼀	ʩ
𝼁	g
𝼂	G
𝼃	k
𝼄	ʟ
𝼅	ɮ
𝼆	ʎ
𝼇	ŋ
## IPA extensions
𝼈	ɺ
𝼉	ƭ
𝼊	ǃ
## Clicks
𝼋	ʃ
𝼌	𝼋
𝼍	ʇ
𝼎	ʖ
𝼏	ʗ
𝼐	K
## Lateral
𝼑	l
## Letters with palatal hooks
𝼒	ʤ
𝼓	ɬ
𝼔	ŋ
𝼕	ɹ
𝼖	ɾ
𝼗	ʧ
𝼘	ʒ
## Letters with retroflex hooks
𝼙	ʤ
𝼚	ɨ
𝼛	o
𝼜	ʧ
𝼝	c
## IPA extension
𝼞	s
