# https://unicode.org/charts/PDF/U0D00.pdf
#
# iso 15919
ം	m
ഃ	h
അ	a
ആ	a
ഇ	i
ഈ	i
ഉ	u
ഊ	u
ഋ	r
ഌ	l
എ	e
ഏ	e
ഐ	ai
ഒ	o
ഓ	o
ഔ	au
ക	k
ഖ	kh
ഗ	g
ഘ	gh
ങ	n
ച	c
ഛ	ch
ജ	j
ഝ	jh
ഞ	n
ട	t
ഠ	th
ഡ	d
ഢ	dh
ണ	n
ത	t
ഥ	th
ദ	d
ധ	dh
ന	n
ഩ	n
പ	p
ഫ	ph
ബ	b
ഭ	bh
മ	m
യ	y
ര	r
റ	r
ല	l
ള	l
ഴ	l
വ	v
ശ	s
ഷ	s
സ	s
ഹ	h
ഺ	t
ഽ	'
ാ	a
ി	i
ീ	i
ു	u
ൂ	u
ൃ	r
ൄ	r
െ	e
േ	e
ൈ	ai
ൊ	o
ോ	o
ൌ	au
ൠ	r
ൡ	l
ൢ	l
ൣ	l
# Various signs
ഀ	m
ഁ	m
ഄ	m
# Variant shape viramas
഻	
഼	
# Virama
്	
# Dot reph
ൎ	r
# Measurement symbol
൏	p
# Additional historic chillu letters
ൔ	m
ൕ	y
ൖ	l
# Dependent vowel sign
ൗ	u
# Minor fractions
# https://unicode.org/wg2/docs/n4429.pdf
൘	2
൙	4
൚	12
൛	16
൜	32
൝	48
൞	64
# Additional historic vowel
ൟ	i
# Fractions
# https://unicode.org/wg2/docs/n4429.pdf
൳	80
൴	160
൵	240
൶	20
൷	40
൸	60
# Date mark
൹	d
# Chillu letters
ൺ	n
ൻ	n
ർ	r
ൽ	l
ൾ	l
ൿ	k
