# https://unicode.org/charts/PDF/U11D00.pdf
# https://unicode.org/L2/L2015/15090r-masaram-gondi.pdf
#
# Vowels
𑴀	a
𑴁	a
𑴂	i
𑴃	i
𑴄	u
𑴅	u
𑴆	e
𑴈	ai
𑴉	o
𑴋	au
# Consonants
𑴌	k
𑴍	kh
𑴎	g
𑴏	gh
𑴐	n
𑴑	c
𑴒	ch
𑴓	j
𑴔	jh
𑴕	n
𑴖	t
𑴗	th
𑴘	d
𑴙	dh
𑴚	n
𑴛	t
𑴜	th
𑴝	d
𑴞	dh
𑴟	n
𑴠	p
𑴡	ph
𑴢	b
𑴣	bh
𑴤	m
𑴥	y
𑴦	r
𑴧	l
𑴨	v
𑴩	s
𑴪	s
𑴫	s
𑴬	h
𑴭	l
# Conjunct letters
𑴮	ks
𑴯	jn
𑴰	tr
# Dependent vowel signs
𑴱	a
𑴲	i
𑴳	i
𑴴	u
𑴵	u
𑴶	r
𑴺	e
𑴼	ai
𑴽	o
𑴿	au
# Various signs
𑵀	m
𑵁	h
𑵂	'
𑵃	'
𑵄	
# Virama
𑵅	
# Cluster-specific consonant forms
𑵆	r
𑵇	r
