# miscellaneous mathematical symbols a
# miscellaneous mathematical symbols b
⟀	^
⟁	^
⟂	T
⟃	<
⟄	>
#
⟅	{
⟆	}
#
⟇	v
#
⟈	\<
⟉	>/
#
⟊	|
#
⟋	/
#
⟌	)
#
⟍	\
#
⟎	^
⟏	v
#
⟐	#
#
⟑	^
⟒	w
⟓	>
⟔	<
#
⟕	*
⟖	*
⟗	*
#
⟘	T
⟙	T
⟚	#
⟛	+
⟜	-
⟝	-
⟞	-
⟟	+
#
⟠	#
⟡	#
⟢	#
⟣	#
⟤	#
⟥	#
#
⟦	[
⟧	]
⟨	<
⟩	>
⟪	<<
⟫	>>
⟬	[
⟭	]
⟮	(
⟯	)
#
⦀	|||
⦁	*
⦂	:
#
⦃	{
⦄	}
⦅	(
⦆	)
⦇	(
⦈	)
⦉	<
⦊	>
⦋	[
⦌	]
#
⦍	[
⦎	]
⦏	[
⦐	]
#
⦑	<
⦒	>
⦓	<
⦔	>
⦕	>
⦖	<
⦗	[
⦘	]
#
⦙	:
⦚	|
#
⦛	>
⦜	^
⦝	^
⦞	<
⦟	<
⦠	>
⦡	^
⦢	>
⦣	>
⦤	<
⦥	>
⦦	^
⦧	^
⦨	^
⦩	^
⦪	^
⦫	^
⦬	^
⦭	^
⦮	^
⦯	^
#
⦰	0
⦱	0
⦲	0
⦳	0
⦴	0
#
⦵	*
⦶	*
⦷	*
⦸	*
⦹	*
⦺	*
⦻	*
⦼	*
⦽	*
⦾	*
⦿	*
⧀	<
⧁	>
⧂	*
⧃	*
#
⧄	/
⧅	\
⧆	*
⧇	o
⧈	#
⧉	#
#
⧊	^
⧋	^
⧌	^
⧍	^
⧎	#
⧏	<
⧐	>
#
⧑	*
⧒	*
⧓	*
⧔	*
⧕	*
⧖	*
⧗	*
#
⧘	{
⧙	}
⧚	{{
⧛	}}
#
⧜	*
⧝	*
⧞	*
⧟	*
⧠	#
⧡	<
⧢	E
#
⧣	#
⧤	#
⧥	#
⧦	#
#
⧧	#
⧨	^
⧩	^
⧪	#
⧫	#
⧬	*
⧭	*
#
⧮	+
⧯	+
⧰	+
⧱	+
⧲	+
⧳	+
#
⧴	:>
⧵	\
⧶	/
⧷	\
#
⧸	/
⧹	\
#
⧺	++
⧻	+++
#
⧼	<
⧽	>
#
⧾	+
⧿	-
