# https://unicode.org/wg2/docs/n3206.pdf
#
# Meetei Mayek
# https://unicode.org/charts/PDF/UABC0.pdf
## Letters
ꯀ	k
ꯁ	s
ꯂ	l
ꯃ	m
ꯄ	p
ꯅ	n
ꯆ	c
ꯇ	t
ꯈ	kh
ꯉ	n
ꯊ	th
ꯋ	w
ꯌ	y
ꯍ	h
ꯎ	u
ꯏ	i
ꯐ	ph
ꯑ	a
ꯒ	g
ꯓ	jh
ꯔ	r
ꯕ	b
ꯖ	j
ꯗ	d
ꯘ	gh
ꯙ	dh
ꯚ	bh
## Final Consonants
ꯛ	ꯀ
ꯜ	ꯂ
ꯝ	ꯃ
ꯞ	ꯄ
ꯟ	ꯅ
ꯠ	ꯇ
ꯡ	ꯉ
ꯢ	ꯏ
## Dependent vowel signs
ꯣ	o
ꯤ	i
ꯥ	a
ꯦ	e
ꯧ	ou
ꯨ	u
ꯩ	ei
ꯪ	m
## Punctuation
꯫	.
꯬	
꯭	
# Meetei Mayek Extensions
# https://unicode.org/charts/PDF/UAAE0.pdf
## Independent vowel signs
ꫠ	e
ꫡ	o
## Consonants
ꫢ	ch
ꫣ	n
ꫤ	t
ꫥ	th
ꫦ	d
ꫧ	dh
ꫨ	n
ꫩ	s
ꫪ	s
## Dependent vowel signs
ꫫ	i
ꫬ	u
ꫭ	ai
ꫮ	au
ꫯ	au
## Punctuation
꫰	,
꫱	?
## Sign
ꫲ	*
## Repetition marks
ꫳ	-
ꫴ	-
## Sign
ꫵ	h
## Virama
꫶	
