# https://escholarship.org/uc/item/3128r3sw
# https://unicode.org/wg2/docs/n3665.pdf
#
# Meroitic Hieroglyphs
# https://unicode.org/charts/PDF/U10980.pdf
## letters
𐦀	a
𐦁	e
𐦂	i
𐦃	o
𐦄	y
𐦅	w
𐦆	b
𐦇	b
𐦈	p
𐦉	m
𐦊	n
𐦋	n
𐦌	ne
𐦍	ne
𐦎	r
𐦏	r
𐦐	l
𐦑	x
𐦒	h
𐦓	s
𐦔	s
𐦕	se
𐦖	k
𐦗	q
𐦘	t
𐦙	t
𐦚	te
𐦛	te
𐦜	to
𐦝	d
## Symbols
𐦞	*
𐦟	+
# Meroitic Cursive
# https://unicode.org/charts/PDF/U109A0.pdf
## letters
𐦠	a
𐦡	e
𐦢	i
𐦣	o
𐦤	y
𐦥	w
𐦦	b
𐦧	p
𐦨	m
𐦩	n
𐦪	ne
𐦫	r
𐦬	l
𐦭	x
𐦮	h
𐦯	s
𐦰	s
𐦱	se
𐦲	k
𐦳	q
𐦴	t
𐦵	te
𐦶	to
𐦷	d
## Logograms
𐦾	RMT
𐦿	IMN
## fractions
𐦽	.5
𐧶	1
𐧷	2
𐧸	3
𐧹	4
𐧺	5
𐧻	6
𐧼	7
𐧽	8
𐧾	9
𐧿	10
𐦼	11
