𖼀	p
𖼁	b
𖼂	p
𖼃	pl
𖼄	m
𖼅	mh
𖼆	m
𖼇	f
𖼈	v
𖼉	vf
𖼊	t
𖼋	d
𖼌	tt
𖼍	t
𖼎	tt
𖼏	dd
𖼐	n
𖼑	nh
𖼒	nn
𖼓	n
𖼔	nn
𖼕	nnh
𖼖	l
𖼗	ly
𖼘	lh
𖼙	lhy
𖼚	tlh
𖼛	dlh
𖼜	tlhy
𖼝	dlhy
𖼞	k
𖼟	g
𖼠	k
𖼡	q
𖼢	qg
𖼣	ng
𖼤	ngh
𖼥	ng
𖼦	h
𖼧	x
𖼨	gh
𖼩	ghh
𖼪	tss
𖼫	dzz
𖼬	ny
𖼭	nyh
𖼮	tsh
𖼯	dzh
𖼰	tsh
𖼱	dzh
𖼲	tsh
𖼳	sh
𖼴	ss
𖼵	zh
𖼶	zsh
𖼷	ts
𖼸	dz
𖼹	ts
𖼺	s
𖼻	z
𖼼	zs
𖼽	zz
𖼾	zzs
𖼿	zz
𖽀	zzy
𖽁	zzsy
𖽂	w
𖽃	h
𖽄	hh
𖽅	br
𖽆	sy
𖽇	dzy
𖽈	t
𖽉	ts
𖽊	rt
#
𖽏	'
𖽐	n
𖽑	h
𖽒	`
𖽓	h
#
𖽔	a
𖽕	aa
𖽖	ahh
𖽗	an
𖽘	ang
𖽙	o
𖽚	oo
𖽛	wo
𖽜	w
𖽝	e
𖽞	en
𖽟	eng
𖽠	oey
𖽡	i
𖽢	ia
𖽣	ian
𖽤	iang
𖽥	io
𖽦	ie
𖽧	ii
𖽨	iu
𖽩	ing
𖽪	u
𖽫	ua
𖽬	uan
𖽭	uang
𖽮	uu
𖽯	uei
𖽰	ung
𖽱	y
𖽲	yi
𖽳	ae
𖽴	aee
𖽵	err
𖽶	err
𖽷	er
𖽸	er
𖽹	ai
𖽺	ei
𖽻	au
𖽼	ou
𖽽	n
𖽾	ng
𖽿	uog
𖾀	yui
𖾁	og
𖾂	oer
𖾃	vw
𖾄	ig
𖾅	ea
𖾆	iong
𖾇	ui
#
𖾏	
𖾐	
𖾑	
𖾒	
#
𖾓	x
𖾔	d
𖾕	l
𖾖	t
𖾗	s
𖾘	k
𖾙	f
#
𖾚	b
𖾛	x
𖾜	l
𖾝	t
𖾞	s
𖾟	f
