# https://unicode.org/charts/PDF/U2980.pdf
#
# Miscellaneous mathematical symbols
⦀	|||
⦁	*
⦂	:
# Brackets
⦃	{
⦄	}
⦅	(
⦆	)
⦇	(
⦈	)
⦉	<
⦊	>
⦋	[
⦌	]
# Brackets with ticks
⦍	[
⦎	]
⦏	[
⦐	]
# Brackets
⦑	<
⦒	>
⦓	<
⦔	>
⦕	>
⦖	<
⦗	[
⦘	]
# Fences
⦙	:
⦚	|
# Angles
⦛	>
⦜	^
⦝	^
⦞	<
⦟	<
⦠	>
⦡	^
⦢	>
⦣	>
⦤	<
⦥	>
⦦	^
⦧	^
⦨	^
⦩	^
⦪	^
⦫	^
⦬	^
⦭	^
⦮	^
⦯	^
# Empty sets
⦰	0
⦱	0
⦲	0
⦳	0
⦴	0
# Circle symbols
⦵	*
⦶	*
⦷	*
⦸	*
⦹	*
⦺	*
⦻	*
⦼	*
⦽	*
⦾	*
⦿	*
⧀	<
⧁	>
⧂	*
⧃	*
# Square symbols
⧄	/
⧅	\
⧆	*
⧇	o
⧈	#
⧉	#
# Triangle symbols
⧊	^
⧋	^
⧌	^
⧍	^
⧎	#
⧏	<
⧐	>
# Bowtie symbols
⧑	*
⧒	*
⧓	*
⧔	*
⧕	*
⧖	*
⧗	*
# Fences
⧘	{
⧙	}
⧚	{{
⧛	}}
# Miscellaneous mathematical symbols
⧜	*
⧝	*
⧞	*
⧟	*
⧠	#
⧡	<
⧢	E
# Relations
⧣	#
⧤	#
⧥	#
⧦	#
# Miscellaneous mathematical symbols
⧧	#
⧨	^
⧩	^
⧪	#
⧫	#
⧬	*
⧭	*
# Error bar symbols
⧮	+
⧯	+
⧰	+
⧱	+
⧲	+
⧳	+
# Miscellaneous mathematical symbols
⧴	:>
⧵	\
⧶	/
⧷	\
# Large operators
⧸	/
⧹	\
# Specialized plus sign operators
⧺	++
⧻	+++
# Brackets
⧼	<
⧽	>
# Symbols used in game theory
⧾	+
⧿	-
