# https://unicode.org/charts/PDF/U2B00.pdf
⬀	/
⬁	\
⬂	\
⬃	/
⬄	-
⬅	<
⬆	^
⬇	v
⬈	/
⬉	\
⬊	\
⬋	/
⬌	-
⬍	|
#
⬎	v
⬏	^
⬐	v
⬑	^
#
⬒	-
⬓	-
⬔	\
⬕	\
#
⬖	|
⬗	|
⬘	-
⬙	-
#
⬚	#
⬛	#
⬜	#
⬝	-
⬞	-
#
⬟	*
⬠	*
#
⬡	*
⬢	*
⬣	*
#
⬤	*
#
⬥	*
⬦	*
⬧	*
⬨	*
⬩	*
⬪	*
⬫	*
#
⬬	*
⬭	*
⬮	*
⬯	*
#
⬰	<
⬱	<
⬲	<
⬳	<
⬴	<
⬵	<
⬶	<
⬷	<
⬸	<
⬹	<
⬺	<
⬻	<
⬼	<
⬽	<
⬾	<
⬿	<
⭀	<
⭁	<
⭂	<
⭃	>
⭄	>
⭅	<
⭆	>
⭇	>
⭈	>
⭉	<
⭊	<
⭋	<
⭌	>
#
⭍	v
#
⭎	/
⭏	\
#
⭐	*
⭑	*
⭒	*
#
⭓	*
⭔	*
#
⭕	*
#
⭖	*
⭗	*
⭘	*
⭙	*
#
⭚	/
⭛	\
⭜	/
⭝	\
⭞	>
⭟	>
#
⭠	<
⭡	^
⭢	>
⭣	v
⭤	-
⭥	|
⭦	\
⭧	/
⭨	\
⭩	/
⭪	<
⭫	^
⭬	>
⭭	v
⭮	>
⭯	<
⭰	<
⭱	^
⭲	>
⭳	v
⭶	\
⭷	/
⭸	\
⭹	/
⭺	<
⭻	^
⭼	>
⭽	v
#
⭾	=
⭿	|
#
⮀	=
⮁	|
⮂	=
⮃	|
⮄	<
⮅	^
⮆	>
⮇	v
#
⮈	<
⮉	^
⮊	>
⮋	v
#
⮌	<
⮍	^
⮎	>
⮏	v
#
⮐	<
⮑	>
⮒	<
⮓	>
#
⮔	*
#
⮕	>
#
⮗	A
#
⮘	<
⮙	^
⮚	>
⮛	v
⮜	<
⮝	^
⮞	>
⮟	v
#
⮠	<
⮡	>
⮢	<
⮣	>
⮤	^
⮥	^
⮦	v
⮧	v
#
⮨	<
⮩	>
⮪	<
⮫	>
⮬	^
⮭	^
⮮	v
⮯	v
#
⮰	<
⮱	>
⮲	<
⮳	>
⮴	^
⮵	^
⮶	v
⮷	v
#
⮸	^
⮹	^
# https://unicode.org/L2/L2017/17033r2-n4783r2-chess-notation.pdf
⮺	*
⮻	*
⮼	*
#
⮽	x
⮾	x
⮿	x
#
⯀	*
⯁	*
⯂	*
⯃	*
⯄	*
⯅	^
⯆	v
⯇	<
⯈	>
#
⯉	Neptune
#
⯊	^
⯋	v
#
⯌	*
⯍	*
⯎	*
⯏	*
#
⯐	+
⯑	?
⯒	+
#
⯓	Pluto
⯔	Pluto
⯕	Pluto
⯖	Pluto
# https://unicode.org/L2/L2016/16080r-add-astrology.pdf
⯗	*
⯘	*
⯙	*
⯚	*
⯛	*
⯜	*
⯝	*
⯞	*
⯟	*
# https://unicode.org/L2/L2016/16064-uranian-planets.pdf
⯠	Cupido
⯡	Hades
⯢	Zeus
⯣	Kronos
⯤	Apollon
⯥	Admetos
⯦	Vulcanus
⯧	Poseidon
#
⯨	*
⯩	*
⯪	*
⯫	*
#
⯬	<
⯭	^
⯮	>
⯯	v
# https://unicode.org/L2/L2016/16173-eris-sedna.pdf
⯰	*
⯱	*
⯲	*
# https://unicode.org/L2/L2017/17020r2-fdbk-extra-aspect-sym.pdf
⯳	V
⯴	N
⯵	Q
⯶	N2
⯷	100
⯸	D3
# https://unicode.org/L2/L2017/17033r2-n4783r2-chess-notation.pdf
⯹	*
⯺	*
⯻	*
⯼	*
⯽	*
⯾	*
# https://unicode.org/L2/L2017/17151r-hell-pause-char.pdf
⯿	#
