# https://unicode.org/charts/PDF/U1F300.pdf
🌢	*
🌣	*
#
🎔	*
🎕	*
#
🎘	*
#
🎜	#
🎝	#
#
🏱	*
🏲	*
#
🏶	*
#
🏻	
🏼	
🏽	
🏾	
🏿	
#
📾	*
#
🔾	*
🔿	*
#
🕀	+
🕁	+
🕂	+
🕃	*
🕄	*
🕅	M
🕆	+
🕇	+
🕈	+
#
🕏	*
#
🕨	*
🕩	*
🕪	*
🕫	@
🕬	@
#
🕭	*
🕮	*
#
🕱	*
🕲	*
#
🕻	@
🕼	@
🕽	@
🕾	@
🕿	@
🖀	@
🖁	@
🖂	@
🖃	@
🖄	@
🖅	@
🖆	@
#
🖈	*
🖉	*
#
🖎	*
🖏	*
#
🖑	*
🖒	^
🖓	v
🖔	V
#
🖗	v
🖘	<
🖙	>
🖚	<
🖛	>
🖜	<
🖝	>
🖞	^
🖟	v
🖠	^
🖡	v
🖢	^
🖣	v
#
🖦	*
🖧	*
#
🖩	*
🖪	*
🖫	*
🖬	*
🖭	*
🖮	*
🖯	*
🖰	*
#
🖳	*
🖴	*
🖵	*
🖶	*
🖷	*
🖸	*
#
🖹	#
🖺	#
🖻	#
#
🖽	#
🖾	#
#
🖿	#
🗀	#
🗁	#
#
🗅	#
🗆	#
🗇	#
🗈	#
🗉	#
🗊	#
🗋	#
🗌	#
🗍	#
🗎	#
🗏	#
🗐	#
#
🗔	*
🗕	*
🗖	*
🗗	*
🗘	*
🗙	X
🗚	aA
🗛	Aa
#
🗟	#
🗠	#
#
🗢	*
#
🗤	v
🗥	^
🗦	>
🗧	<
#
🗩	@
🗪	@
🗫	@
🗬	@
🗭	@
🗮	@
#
🗰	*
🗱	*
🗲	*
#
🗴	x
🗵	x
🗶	x
🗷	x
🗸	v
🗹	v
