# https://unicode.org/charts/PDF/U1CEC0.pdf
#
# Astronomical symbols for asteroids
# https://unicode.org/L2/L2023/23207-historical-asteroids.pdf
𜻀	*
𜻁	*
𜻂	*
𜻃	*
𜻄	*
𜻅	*
𜻆	*
𜻇	*
𜻈	*
𜻉	*
𜻊	*
𜻋	*
𜻌	*
𜻍	*
𜻎	*
𜻏	*
𜻐	*
# Symbols for geomantic figures
# https://unicode.org/L2/L2023/23218-geomancy.pdf
𜻠	||||
𜻡	|||-
𜻢	||-|
𜻣	||--
𜻤	|-||
𜻥	|-|-
𜻦	|--|
𜻧	|---
𜻨	-|||
𜻩	-||-
𜻪	-|-|
𜻫	-|--
𜻬	--||
𜻭	--|-
𜻮	---|
𜻯	----
# Miscellaneous symbol
# https://unicode.org/L2/L2023/23193r2-ten-chemical-symbols.pdf
# https://en.wikipedia.org/wiki/Standard_state
𜻰	*
