# https://unicode.org/charts/PDF/UA700.pdf
#
# Corner tone marks for Chinese
# https://unicode.org/wg2/docs/n2713.pdf
# https://en.wikipedia.org/wiki/Four_tones_(Middle_Chinese)
꜀	1
꜁	2
꜂	3
꜃	4
꜄	5
꜅	6
꜆	7
꜇	8
# tone letters
# https://unicode.org/wg2/docs/n2713.pdf
# https://en.wikipedia.org/wiki/Tone_letter
꜈	5
꜉	4
꜊	3
꜋	2
꜌	1
꜍	5
꜎	4
꜏	3
꜐	2
꜑	1
꜒	5
꜓	4
꜔	3
꜕	2
꜖	1
# Chinantec tone marks
# https://unicode.org/wg2/docs/n2883.pdf
# https://en.wikipedia.org/wiki/Chinantec_of_Ozumacín
ꜗ	'
ꜘ	'
ꜙ	-
ꜚ	˜
# Africanist tone letters
# https://unicode.org/wg2/docs/n2945.pdf
# https://en.wikipedia.org/wiki/Upstep
# https://en.wikipedia.org/wiki/Downstep
ꜛ	^
ꜜ	!
ꜝ	!
ꜞ	^
ꜟ	^
