# https://unicode.org/charts/PDF/U1800.pdf
# https://unicode.org/charts/PDF/U11660.pdf
# https://unicode.org/reports/tr54
# https://unicode.org/versions/Unicode13.0.0/ch13.pdf
#
# ungegn 1982
# knab 2015 pinyin
ᠠ	a
ᠡ	e
ᠢ	i
ᠣ	o
ᠤ	u
ᠥ	o
ᠦ	u
ᠧ	e
ᠨ	n
ᠩ	ng
ᠪ	b
ᠫ	p
ᠬ	h
ᠭ	g
ᠮ	m
ᠯ	l
ᠰ	s
ᠱ	x
ᠲ	t
ᠳ	d
ᠴ	q
ᠵ	j
ᠶ	y
ᠷ	r
ᠸ	w
ᠹ	f
ᠺ	k
ᠻ	k
ᠼ	c
ᠽ	z
ᠾ	h
ᠿ	r
ᡀ	lh
ᡁ	zh
ᡂ	ch
# todo
# kalmyk knab 2012
# https://xal.wikipedia.org/wiki/Тодо_бичиг
ᡃ	
ᡄ	e
ᡅ	i
ᡆ	o
ᡇ	u
ᡈ	o
ᡉ	u
ᡊ	ng
ᡋ	b
ᡌ	p
ᡍ	h
ᡎ	gh
ᡏ	m
ᡐ	t
ᡑ	d
ᡒ	ch
ᡓ	dzh
ᡔ	c
ᡕ	j
ᡖ	v
ᡗ	k
ᡘ	g
ᡙ	g
ᡚ	dzh
ᡛ	nj
ᡜ	dz
# manchu ala-lc 2012
ᡝ	e
ᡞ	i
ᡟ	y
ᡠ	u
ᡡ	u
ᡢ	ng
ᡣ	k
ᡤ	g
ᡥ	h
ᡦ	p
ᡧ	sh
ᡨ	t
ᡩ	d
ᡪ	j
ᡫ	f
ᡬ	g
ᡭ	h
ᡮ	ts
ᡯ	dz
ᡰ	zh
ᡱ	c
ᡲ	j
ᡳ	i
ᡴ	k
ᡵ	r
ᡶ	f
ᡷ	j
# https://unicode.org/L2/L2017/17007-n4781-mongolian.pdf
ᡸ	sh
# ali gali
# https://unicode.org/L2/L2017/17333-mong-mixed-scheme.pdf
# https://unicode.org/L2/L2016/16292-mongolian-comments.pdf
ᢀ	m
ᢁ	h
ᢂ	h
ᢃ	h
ᢄ	h
ᢅ	3
ᢆ	9
ᢇ	a
ᢈ	i
ᢉ	k
ᢊ	ng
ᢋ	ts
ᢌ	t
ᢍ	th
ᢎ	d
ᢏ	n
ᢐ	t
ᢑ	d
ᢒ	p
ᢓ	ph
ᢔ	s
ᢕ	zh
ᢖ	z
ᢗ	'
ᢘ	t
ᢙ	zh
ᢚ	gh
ᢛ	ng
ᢜ	ts
ᢝ	dzh
ᢞ	t
ᢟ	dh
ᢠ	t
ᢡ	dh
ᢢ	s
ᢣ	c
ᢤ	zh
ᢥ	z
ᢦ	w
ᢧ	y
ᢨ	bh
ᢩ	
ᢪ	lh
# punctuation
᠁	...
᠂	,
᠃	.
᠄	:
᠅	*
᠆	-
᠇	-
᠈	,
᠉	.
᠊	-
# birgas
᠀	@
𑙠	@
𑙡	@
𑙢	@
𑙣	@
𑙤	@
𑙥	@
𑙦	@
𑙧	@
𑙨	@
𑙩	@
𑙪	@
𑙫	@
𑙬	@
# format controls
᠋	
᠌	
᠍	
᠎	
