# https://unicode.org/charts/PDF/U119A0.pdf
# https://unicode.org/wg2/docs/n4819-nandinagari.pdf
#
# Independent vowels
𑦠	अ
𑦡	आ
𑦢	इ
𑦣	ई
𑦤	उ
𑦥	ऊ
𑦦	ऋ
𑦧	ॠ
𑦪	ए
𑦫	ऐ
𑦬	ओ
𑦭	औ
# Consonants
𑦮	क
𑦯	ख
𑦰	ग
𑦱	घ
𑦲	ङ
𑦳	च
𑦴	छ
𑦵	ज
𑦶	झ
𑦷	ञ
𑦸	ट
𑦹	ठ
𑦺	ड
𑦻	ढ
𑦼	ण
𑦽	त
𑦾	थ
𑦿	द
𑧀	ध
𑧁	न
𑧂	प
𑧃	फ
𑧄	ब
𑧅	भ
𑧆	म
𑧇	य
𑧈	र
𑧉	ल
𑧊	व
𑧋	श
𑧌	ष
𑧍	स
𑧎	ह
𑧏	ळ
𑧐	ऱ
# Dependent vowel signs
𑧑	ा
𑧒	ि
𑧓	ी
𑧔	ु
𑧕	ू
𑧖	ृ
𑧗	ॄ
𑧚	े
𑧛	ै
𑧜	ो
𑧝	ौ
# Various signs
𑧞	ं
𑧟	ः
𑧠	्
𑧡	ऽ
𑧢	꣼
# Punctuation
𑧣	ꣻ
# Dependent vowel sign
# https://unicode.org/wg2/docs/n4928-17213r-prish-nandinagari.pdf
𑧤	ॎ
