# https://www.unicode.org/charts/PDF/U1980.pdf
# https://www.unicode.org/wg2/docs/n2634.pdf
# knab 2013
# https://en.wikipedia.org/wiki/New_Tai_Lue_alphabet
# consonants
ᦀ	'
ᦁ	'
ᦂ	k
ᦃ	x
ᦄ	ng
ᦅ	k
ᦆ	x
ᦇ	ng
ᦈ	ts
ᦉ	s
ᦊ	y
ᦋ	ts
ᦌ	s
ᦍ	y
ᦎ	t
ᦏ	th
ᦐ	n
ᦑ	t
ᦒ	th
ᦓ	n
ᦔ	p
ᦕ	ph
ᦖ	m
ᦗ	p
ᦘ	ph
ᦙ	m
ᦚ	f
ᦛ	w
ᦜ	l
ᦝ	f
ᦞ	w
ᦟ	l
ᦠ	h
ᦡ	d
ᦢ	b
ᦣ	h
ᦤ	d
ᦥ	b
ᦦ	kwa
ᦧ	xwa
ᦨ	kwa
ᦩ	xwa
ᦪ	swa
ᦫ	swa
# vowel signs
ᦰ	'
ᦱ	aa
ᦲ	i
ᦳ	u
ᦴ	uu
ᦵ	e
ᦶ	ae
ᦷ	o
ᦸ	oa
ᦹ	ue
ᦺ	ay
ᦻ	aay
ᦼ	uy
ᦽ	oy
ᦾ	oay
ᦿ	uey
ᧀ	iy
# final consonants
ᧁ	w
ᧂ	ng
ᧃ	n
ᧄ	m
ᧅ	k
ᧆ	d
ᧇ	b
# tone marks
ᧈ	
ᧉ	
# digits
᧚	1
# various signs
᧞	lae
᧟	laew
