# https://unicode.org/charts/PDF/U11400.pdf
# https://unicode.org/wg2/docs/n4184.pdf
# https://unicode.org/wg2/docs/n4816-newa-sandhi.pdf
# https://unicode.org/wg2/docs/n4865-17093-newa-vedic-anusvara.pdf
# https://unicode.org/wg2/docs/n4932-17369r-newa-jihvamuliya-upadhmaniya.pdf
#
# Independent vowels
𑐀	a
𑐁	a
𑐂	i
𑐃	i
𑐄	u
𑐅	u
𑐆	r
𑐇	r
𑐈	l
𑐉	l
𑐊	e
𑐋	ai
𑐌	o
𑐍	au
# Consonants
𑐎	k
𑐏	kh
𑐐	g
𑐑	gh
𑐒	n
𑐓	hn
𑐔	c
𑐕	ch
𑐖	j
𑐗	jh
𑐘	n
𑐙	hn
𑐚	t
𑐛	th
𑐜	d
𑐝	dh
𑐞	n
𑐟	t
𑐠	th
𑐡	d
𑐢	dh
𑐣	n
𑐤	hn
𑐥	p
𑐦	ph
𑐧	b
𑐨	bh
𑐩	m
𑐪	hm
𑐫	y
𑐬	r
𑐭	hr
𑐮	l
𑐯	hl
𑐰	v
𑐱	s
𑐲	s
𑐳	s
𑐴	h
# Dependent vowel signs
𑐵	a
𑐶	i
𑐷	i
𑐸	u
𑐹	u
𑐺	r
𑐻	r
𑐼	l
𑐽	l
𑐾	e
𑐿	ai
𑑀	o
𑑁	au
# Various signs
𑑂	
𑑃	m
𑑄	m
𑑅	h
𑑆	'
𑑇	'
𑑈	m
# Invocation signs
𑑉	Om
𑑊	*
# Punctuation
𑑋	,
𑑌	.
𑑍	,
𑑎	-
𑑏	.
# Punctuation
𑑚	.
# Various signs
𑑛	-
𑑝	^
𑑞	'
𑑟	m
𑑠	h
𑑡	h
