# https://unicode.org/charts/PDF/U07C0.pdf
# https://unicode.org/wg2/docs/n2765.pdf
# https://unicode.org/wg2/docs/n4706-nko-additions.pdf
# ala-lc 2015
# knab 2012
#
# Letters
ߊ	a
ߋ	e
ߌ	i
ߍ	e
ߎ	u
ߏ	o
ߐ	o
ߑ	
ߒ	n
ߓ	b
ߔ	p
ߕ	t
ߖ	j
ߗ	c
ߘ	d
ߙ	r
ߚ	rr
ߛ	s
ߜ	gb
ߝ	f
ߞ	k
ߟ	l
ߠ	n
ߡ	m
ߢ	ny
ߣ	n
ߤ	h
ߥ	w
ߦ	y
ߧ	ny
# Archaic letters
ߨ	ߖ
ߩ	ߗ
ߪ	ߙ
# Tone marks
߫	
߬	
߭	
߮	
߯	
߰	
߱	
# Other diacritics
߲	n
߳	
# Tonal apostrophes
ߴ	'
ߵ	`
# Symbol
߶	o
# Punctuation
߷	*
߸	,
߹	!
# Letter extender
ߺ	-
# Abbreviation sign
߽	.
# Currency symbols
߾	D
߿	T
