# https://unicode.org/charts/PDF/U10300.pdf
# Bonfante, Larissa. "Section 23: The Scripts of Italy." The World's Writing Systems, Edited by Peter T. Daniels and William Bright, 1996, pp. 297-311.
#
# Letters
𐌀	a
𐌁	b
𐌂	c
𐌃	d
𐌄	e
𐌅	v
𐌆	z
𐌇	h
𐌈	th
𐌉	i
𐌊	k
𐌋	l
𐌌	m
𐌍	n
𐌎	s
𐌏	o
𐌐	p
𐌑	s
𐌒	q
𐌓	r
𐌔	s
𐌕	t
𐌖	u
𐌗	x
𐌘	ph
𐌙	ch
𐌚	f
# Umbrian letters
𐌛	r
𐌜	c
# Oscan letters
𐌝	i
𐌞	u
# South Picene letter
# https://unicode.org/wg2/docs/n4395.pdf
𐌟	s
# Numerals
𐌠	I
𐌡	V
𐌢	X
𐌣	L
# North Italic letters
# https://unicode.org/wg2/docs/n4669r-olditalic.pdf
𐌭	j
𐌮	t'
𐌯	t'
