# https://unicode.org/charts/PDF/U0B00.pdf
#
# iso 15919
ଁ	m
ଂ	m
ଃ	h
ଅ	a
ଆ	a
ଇ	i
ଈ	i
ଉ	u
ଊ	u
ଋ	r
ଌ	l
ଏ	e
ଐ	ai
ଓ	o
ଔ	au
କ	k
ଖ	kh
ଗ	g
ଘ	gh
ଙ	n
ଚ	c
ଛ	ch
ଜ	j
ଝ	jh
ଞ	n
ଟ	t
ଠ	th
ଡ	d
ଢ	dh
ଣ	n
ତ	t
ଥ	th
ଦ	d
ଧ	dh
ନ	n
ପ	p
ଫ	ph
ବ	b
ଭ	bh
ମ	m
ଯ	y
ର	r
ଲ	l
ଳ	l
ଵ	v
ଶ	s
ଷ	s
ସ	s
ହ	h
ଽ	'
ା	a
ି	i
ୀ	i
ୁ	u
ୂ	u
ୃ	r
ୄ	r
େ	e
ୈ	ai
ୋ	o
ୌ	au
ଡ଼	r
ଢ଼	rh
ୟ	y
ୠ	r
ୡ	l
ୢ	l
ୣ	l
ୱ	w
# Various signs
଼	'
# Virama
୍	
# Various signs
# https://unicode.org/wg2/docs/n5023-19005-odia-overline.pdf
୕	
ୖ	i
ୗ	u
# Sign
୰	^
# Fraction signs
# https://unicode.org/wg2/docs/n3471.pdf
୲	꠰
୳	꠱
୴	꠲
୵	꠳
୶	꠴
୷	꠵
