# https://unicode.org/charts/PDF/U16B00.pdf
# https://unicode.org/wg2/docs/n4175.pdf
#
# Vowel rimes
𖬀	eeb
𖬁	eev
𖬂	ib
𖬃	iv
𖬄	aub
𖬅	auv
𖬆	ub
𖬇	uv
𖬈	eb
𖬉	ev
𖬊	aib
𖬋	aiv
𖬌	oob
𖬍	oov
𖬎	awb
𖬏	awv
𖬐	uab
𖬑	uav
𖬒	ob
𖬓	ov
𖬔	iab
𖬕	iav
𖬖	ab
𖬗	av
𖬘	wb
𖬙	wv
𖬚	aab
𖬛	aav
# Consonant onsets
𖬜	v
𖬢	nk
𖬮	x
𖬯	c
𖬞	l
𖬝	nts
𖬥	hl
𖬡	r
𖬩	hn
𖬪	plh
𖬫	nth
𖬧	ch
𖬬	n
𖬠	nl
𖬣	qh
𖬟	h
𖬨	nch
𖬦	m
𖬤	y
𖬭	'
# Combining diacritical marks
# Final Version vowel rimes
𖬰	m
𖬱	d
𖬲	j
𖬳	v
𖬴	
𖬵	s
𖬶	g
# Punctuation
𖬷	?
𖬸	!
𖬹	,
𖬺	&
𖬻	%
# Mathematical operators
𖬼	+
𖬽	-
𖬾	*
𖬿	/
# Modifier letters
𖭀	~
𖭁	`
𖭂	-
𖭃	-
# Punctuation
𖭄	^
𖭅	@
# Numbers
𖭛	Caum
𖭜	Pua
𖭝	Vam
𖭞	Roob
𖭟	Neev
𖭠	Ruav
𖭡	Tas
# Logographs
𖭣	'
𖭤	Xyoo
𖭥	Hli
𖭦	Hli
𖭧	ZT
𖭨	Hnub
𖭩	Nqig
𖭪	Xiab
𖭫	Ntuj
𖭬	Av
𖭭	TC
𖭮	MT
𖭯	Tau
𖭰	Los
𖭱	Mus
𖭲	CHLNN
𖭳	CCT
𖭴	CT
𖭵	CTC
𖭶	CPD
𖭷	CNT
# Logographs for clan names
# https://unicode.org/wg2/docs/n4298.pdf
𖭾	Yeng
𖭿	Lee
𖮀	Lor
𖮁	Xiong
𖮃	Her
𖮄	Moua
𖮅	Thao
𖮆	Chang
𖮈	Khang
𖮉	Hang
𖮊	Vang
𖮌	Yang
𖮎	Kw
𖮏	Vue
𖭽	Cheng
𖮂	Kong
𖮋	Fang
𖮍	Chue
𖮇	Pha
