# https://unicode.org/charts/PDF/UA840.pdf
# https://babelstone.co.uk/Phags-pa/Description.html
#
# Consonants
ꡀ	k
ꡁ	kh
ꡂ	g
ꡃ	ng
ꡄ	c
ꡅ	ch
ꡆ	j
ꡇ	ny
ꡈ	t
ꡉ	th
ꡊ	d
ꡋ	n
ꡌ	p
ꡍ	ph
ꡎ	b
ꡏ	m
ꡐ	ts
ꡑ	tsh
ꡒ	dz
ꡓ	w
ꡔ	zh
ꡕ	z
ꡖ	-
ꡗ	y
ꡘ	r
ꡙ	l
ꡚ	sh
ꡛ	s
ꡜ	h
# Letter A
ꡝ	'
# Vowels
ꡞ	i
ꡟ	u
ꡠ	e
ꡡ	o
# Consonants
ꡢ	q
ꡣ	x
ꡤ	f
ꡥ	gg
# Vowel
ꡦ	ee
# Subjoined consonants
ꡧ	w
ꡨ	y
# Consonant additions for Sanskrit
ꡩ	tt
ꡪ	tth
ꡫ	dd
ꡬ	nn
# Alternate consonant forms for Chinese
ꡭ	y''
ꡮ	sh'
ꡯ	h'
ꡰ	f''
# Subjoined consonant
ꡱ	r
# Consonant addition for Tibetan
ꡲ	r
# Candrabindu
ꡳ	^
# Head marks for Tibetan
꡴	@
꡵	@@
# Punctuation for Tibetan
꡶	/
꡷	//
