# phoenician
# https://www.unicode.org/charts/PDF/U10900.pdf
# https://en.wikipedia.org/wiki/Phoenician_alphabet
𐤀	'
𐤁	b
𐤂	g
𐤃	d
𐤄	h
𐤅	w
𐤆	z
𐤇	h.
𐤈	t.
𐤉	y
𐤊	k
𐤋	l
𐤌	m
𐤍	n
𐤎	s
𐤏	`
𐤐	p
𐤑	s.
𐤒	q
𐤓	r
𐤔	sh
𐤕	t
𐤟	 
# hatran
# https://www.unicode.org/charts/PDF/U108E0.pdf
# https://www.unicode.org/wg2/docs/n4324.pdf
𐣠	'
𐣡	b
𐣢	g
𐣣	d
𐣤	h
𐣥	w
𐣦	z
𐣧	h.
𐣨	t.
𐣩	y
𐣪	k
𐣫	l
𐣬	m
𐣭	n
𐣮	s
𐣯	`
𐣰	p
𐣱	s.
𐣲	q
𐣴	sh
𐣵	t
# imperial aramaic
# https://www.unicode.org/charts/PDF/U10840.pdf
# https://en.wikipedia.org/wiki/Aramaic_alphabet
𐡀	'
𐡁	b
𐡂	g
𐡃	d
𐡄	h
𐡅	w
𐡆	z
𐡇	h.
𐡈	t.
𐡉	y
𐡊	k
𐡋	l
𐡌	m
𐡍	n
𐡎	s
𐡏	`
𐡐	p
𐡑	s.
𐡒	q
𐡓	r
𐡔	sh
𐡕	t
𐡗	+
# nabataean
# https://www.unicode.org/charts/PDF/U10880.pdf
𐢀	'
𐢁	'
𐢂	b
𐢃	b
𐢄	g
𐢅	d
𐢆	h
𐢇	h
𐢈	w
𐢉	z
𐢊	h.
𐢋	t.
𐢌	y
𐢍	y
𐢎	k
𐢏	k
𐢐	l
𐢑	l
𐢒	m
𐢓	m
𐢔	n
𐢕	n
𐢖	s
𐢗	`
𐢘	p
𐢙	s.
𐢚	q
𐢛	r
𐢜	sh
𐢝	sh
𐢞	t
# palmyrene
# https://www.unicode.org/charts/PDF/U10860.pdf
𐡠	'
𐡡	b
𐡢	g
𐡣	d
𐡤	h
𐡥	w
𐡦	z
𐡧	h.
𐡨	t.
𐡩	y
𐡪	k
𐡫	l
𐡬	m
𐡭	n
𐡮	n
𐡯	s
𐡰	`
𐡱	p
𐡲	s.
𐡳	q
𐡴	r
𐡵	sh
𐡶	t
𐡷	<
𐡸	>
# elymaic
# https://www.unicode.org/charts/PDF/U10FE0.pdf
# https://www.unicode.org/wg2/docs/n4916-17226r2-elymaic.pdf
𐿠	'
𐿡	b
𐿢	g
𐿣	d
𐿤	h
𐿥	w
𐿦	z
𐿧	h.
𐿨	t.
𐿩	y
𐿪	k
𐿫	l
𐿬	m
𐿭	n
𐿮	s
𐿯	`
𐿰	p
𐿱	s.
𐿲	q
𐿳	r
𐿴	sh
𐿵	t
𐿶	zy
# inscriptional parthian
# https://www.unicode.org/charts/PDF/U10B40.pdf
𐭀	'
𐭁	b
𐭂	g
𐭃	d
𐭄	h
𐭅	w
𐭆	z
𐭇	h.
𐭈	t.
𐭉	y
𐭊	k
𐭋	l
𐭌	m
𐭍	n
𐭎	s
𐭏	`
𐭐	p
𐭑	s.
𐭒	q
𐭓	r
𐭔	sh
𐭕	t
# inscriptional pahlavi
# https://www.unicode.org/charts/PDF/U10B60.pdf
𐭠	'
𐭡	b
𐭢	g
𐭣	d
𐭤	h
𐭥	w
𐭦	z
𐭧	h.
𐭨	t.
𐭩	y
𐭪	k
𐭫	l
𐭬	m
𐭭	n
𐭮	s
𐭯	p
𐭰	s.
𐭱	sh
𐭲	t
# psalter pahlavi
# https://www.unicode.org/charts/PDF/U10B80.pdf
# https://www.unicode.org/wg2/docs/n4040.pdf
𐮀	'
𐮁	b
𐮂	g
𐮃	d
𐮄	h
𐮅	w
𐮆	z
𐮇	h.
𐮈	y
𐮉	k
𐮊	l
𐮋	m
𐮌	n
𐮍	s
𐮎	p
𐮏	s.
𐮐	sh
𐮑	t
𐮙	*
𐮚	*
𐮛	+
𐮜	+
