# https://unicode.org/charts/PDF/U1F0A0.pdf
#
# Back of card
🂠	-
# Spades
🂡	As
🂢	2s
🂣	3s
🂤	4s
🂥	5s
🂦	6s
🂧	7s
🂨	8s
🂩	9s
🂪	Ts
🂫	Js
🂬	Ns
🂭	Qs
🂮	Ks
# Hearts
🂱	Ah
🂲	2h
🂳	3h
🂴	4h
🂵	5h
🂶	6h
🂷	7h
🂸	8h
🂹	9h
🂺	Th
🂻	Jh
🂼	Nh
🂽	Qh
🂾	Kh
# Joker
🂿	0
# Diamonds
🃁	Ad
🃂	2d
🃃	3d
🃄	4d
🃅	5d
🃆	6d
🃇	7d
🃈	8d
🃉	9d
🃊	Td
🃋	Jd
🃌	Nd
🃍	Qd
🃎	Kd
# Joker
🃏	0
# Clubs
🃑	Ac
🃒	2c
🃓	3c
🃔	4c
🃕	5c
🃖	6c
🃗	7c
🃘	8c
🃙	9c
🃚	Tc
🃛	Jc
🃜	Nc
🃝	Qc
🃞	Kc
# Joker
🃟	0
# Trumps
🃠	0
🃡	1
🃢	2
🃣	3
🃤	4
🃥	5
🃦	6
🃧	7
🃨	8
🃩	9
🃪	10
🃫	11
🃬	12
🃭	13
🃮	14
🃯	15
🃰	16
🃱	17
🃲	18
🃳	19
🃴	20
🃵	21
