# https://unicode.org/charts/PDF/U11180.pdf
# https://unicode.org/wg2/docs/n3595.pdf
#
# Various signs
𑆀	m
𑆁	m
𑆂	h
# Independent vowels
𑆃	a
𑆄	a
𑆅	i
𑆆	i
𑆇	u
𑆈	u
𑆉	r
𑆊	r
𑆋	l
𑆌	l
𑆍	e
𑆎	ai
𑆏	o
𑆐	au
# Consonants
𑆑	k
𑆒	kh
𑆓	g
𑆔	gh
𑆕	n
𑆖	c
𑆗	ch
𑆘	j
𑆙	jh
𑆚	n
𑆛	t
𑆜	th
𑆝	d
𑆞	dh
𑆟	n
𑆠	t
𑆡	th
𑆢	d
𑆣	dh
𑆤	n
𑆥	p
𑆦	ph
𑆧	b
𑆨	bh
𑆩	m
𑆪	y
𑆫	r
𑆬	l
𑆭	l
𑆮	v
𑆯	s
𑆰	s
𑆱	s
𑆲	h
# Dependent vowels
𑆳	a
𑆴	i
𑆵	i
𑆶	u
𑆷	u
𑆸	r
𑆹	r
𑆺	l
𑆻	l
𑆼	e
𑆽	ai
𑆾	o
𑆿	au
# Virama
𑇀	
# Various signs
𑇁	'
𑇂	h
𑇃	h
𑇄	Om
# Punctuation
𑇅	,
𑇆	.
𑇇	.
𑇈	 
# Sign
# https://unicode.org/wg2/docs/n4330.pdf
𑇉	
# Signs for kashmiri
# https://unicode.org/wg2/docs/n4265.pdf
𑇊	'
𑇋	
𑇌	
# Punctuation
𑇍	*
# Historic vowel sign
# https://unicode.org/wg2/docs/n4931-17214r-prish-sharada.pdf
𑇎	e
# Sign
# https://unicode.org/wg2/docs/n4930-17428-sharada-inv-candrabindu.pdf
𑇏	m
# Punctuation
## https://unicode.org/wg2/docs/n4158.pdf
𑇚	1
## https://unicode.org/wg2/docs/n4331.pdf
𑇛	*
## https://unicode.org/wg2/docs/n4337.pdf
𑇜	-
## https://unicode.org/wg2/docs/n4329.pdf
𑇝	-
# Section marks
# https://unicode.org/wg2/docs/n4338.pdf
𑇞	~
𑇟	^
