# https://www.unicode.org/charts/PDF/U3300.pdf
# https://en.wiktionary.org/wiki/Talk:%E3%8C%AC
㌀	apartment
㌁	alpha
㌂	ampere
㌃	are
㌄	inning
㌅	inch
㌆	won
㌇	escudo
㌈	acre
㌉	ounce
㌊	ohm
㌋	kai-ri
㌌	carat
㌍	calorie
㌎	gallon
㌏	gamma
㌐	giga
㌑	guinea
㌒	curie
㌓	guilder
㌔	kilo
㌕	kilogram
㌖	kilometer
㌗	kilowatt
㌘	gram
㌙	gram ton
㌚	cruzeiro
㌛	krone
㌜	case
㌝	koruna
㌞	co-op
㌟	cycle
㌠	centime
㌡	shilling
㌢	centi
㌣	cent
㌤	dozen
㌥	deci
㌦	dollar
㌧	ton
㌨	nano
㌩	knot
㌪	heights
㌫	percent
㌬	parts
㌭	barrel
㌮	piaster
㌯	picul
㌰	pico
㌱	building
㌲	farad
㌳	feet
㌴	bushel
㌵	franc
㌶	hectare
㌷	peso
㌸	pfennig
㌹	hertz
㌺	pence
㌻	page
㌼	beta
㌽	point
㌾	volt
㌿	hon
㍀	pound
㍁	hall
㍂	horn
㍃	micro
㍄	mile
㍅	mach
㍆	mark
㍇	mansion
㍈	micron
㍉	milli
㍊	millibar
㍋	mega
㍌	megaton
㍍	meter
㍎	yard
㍏	yard
㍐	yuan
㍑	liter
㍒	lira
㍓	rupee
㍔	ruble
㍕	rem
㍖	roentgen
㍗	watt
