# https://unicode.org/charts/PDF/U1D800.pdf
𝠀	S100
𝠁	S101
𝠂	S102
𝠃	S103
𝠄	S104
𝠅	S105
𝠆	S106
𝠇	S107
𝠈	S108
𝠉	S109
𝠊	S10a
𝠋	S10b
𝠌	S10c
𝠍	S10d
𝠎	S10e
𝠏	S10f
𝠐	S110
𝠑	S111
𝠒	S112
𝠓	S113
𝠔	S114
𝠕	S115
𝠖	S116
𝠗	S117
𝠘	S118
𝠙	S119
𝠚	S11a
𝠛	S11b
𝠜	S11c
𝠝	S11d
𝠞	S11e
𝠟	S11f
𝠠	S120
𝠡	S121
𝠢	S122
𝠣	S123
𝠤	S124
𝠥	S125
𝠦	S126
𝠧	S127
𝠨	S128
𝠩	S129
𝠪	S12a
𝠫	S12b
𝠬	S12c
𝠭	S12d
𝠮	S12e
𝠯	S12f
𝠰	S130
𝠱	S131
𝠲	S132
𝠳	S133
𝠴	S134
𝠵	S135
𝠶	S136
𝠷	S137
𝠸	S138
𝠹	S139
𝠺	S13a
𝠻	S13b
𝠼	S13c
𝠽	S13d
𝠾	S13e
𝠿	S13f
𝡀	S140
𝡁	S141
𝡂	S142
𝡃	S143
𝡄	S144
𝡅	S145
𝡆	S146
𝡇	S147
𝡈	S148
𝡉	S149
𝡊	S14a
𝡋	S14b
𝡌	S14c
𝡍	S14d
𝡎	S14e
𝡏	S14f
𝡐	S150
𝡑	S151
𝡒	S152
𝡓	S153
𝡔	S154
𝡕	S155
𝡖	S156
𝡗	S157
𝡘	S158
𝡙	S159
𝡚	S15a
𝡛	S15b
𝡜	S15c
𝡝	S15d
𝡞	S15e
𝡟	S15f
𝡠	S160
𝡡	S161
𝡢	S162
𝡣	S163
𝡤	S164
𝡥	S165
𝡦	S166
𝡧	S167
𝡨	S168
𝡩	S169
𝡪	S16a
𝡫	S16b
𝡬	S16c
𝡭	S16d
𝡮	S16e
𝡯	S16f
𝡰	S170
𝡱	S171
𝡲	S172
𝡳	S173
𝡴	S174
𝡵	S175
𝡶	S176
𝡷	S177
𝡸	S178
𝡹	S179
𝡺	S17a
𝡻	S17b
𝡼	S17c
𝡽	S17d
𝡾	S17e
𝡿	S17f
𝢀	S180
𝢁	S181
𝢂	S182
𝢃	S183
𝢄	S184
𝢅	S185
𝢆	S186
𝢇	S187
𝢈	S188
𝢉	S189
𝢊	S18a
𝢋	S18b
𝢌	S18c
𝢍	S18d
𝢎	S18e
𝢏	S18f
𝢐	S190
𝢑	S191
𝢒	S192
𝢓	S193
𝢔	S194
𝢕	S195
𝢖	S196
𝢗	S197
𝢘	S198
𝢙	S199
𝢚	S19a
𝢛	S19b
𝢜	S19c
𝢝	S19d
𝢞	S19e
𝢟	S19f
𝢠	S1a0
𝢡	S1a1
𝢢	S1a2
𝢣	S1a3
𝢤	S1a4
𝢥	S1a5
𝢦	S1a6
𝢧	S1a7
𝢨	S1a8
𝢩	S1a9
𝢪	S1aa
𝢫	S1ab
𝢬	S1ac
𝢭	S1ad
𝢮	S1ae
𝢯	S1af
𝢰	S1b0
𝢱	S1b1
𝢲	S1b2
𝢳	S1b3
𝢴	S1b4
𝢵	S1b5
𝢶	S1b6
𝢷	S1b7
𝢸	S1b8
𝢹	S1b9
𝢺	S1ba
𝢻	S1bb
𝢼	S1bc
𝢽	S1bd
𝢾	S1be
𝢿	S1bf
𝣀	S1c0
𝣁	S1c1
𝣂	S1c2
𝣃	S1c3
𝣄	S1c4
𝣅	S1c5
𝣆	S1c6
𝣇	S1c7
𝣈	S1c8
𝣉	S1c9
𝣊	S1ca
𝣋	S1cb
𝣌	S1cc
𝣍	S1cd
𝣎	S1ce
𝣏	S1cf
𝣐	S1d0
𝣑	S1d1
𝣒	S1d2
𝣓	S1d3
𝣔	S1d4
𝣕	S1d5
𝣖	S1d6
𝣗	S1d7
𝣘	S1d8
𝣙	S1d9
𝣚	S1da
𝣛	S1db
𝣜	S1dc
𝣝	S1dd
𝣞	S1de
𝣟	S1df
𝣠	S1e0
𝣡	S1e1
𝣢	S1e2
𝣣	S1e3
𝣤	S1e4
𝣥	S1e5
𝣦	S1e6
𝣧	S1e7
𝣨	S1e8
𝣩	S1e9
𝣪	S1ea
𝣫	S1eb
𝣬	S1ec
𝣭	S1ed
𝣮	S1ee
𝣯	S1ef
𝣰	S1f0
𝣱	S1f1
𝣲	S1f2
𝣳	S1f3
𝣴	S1f4
𝣵	S1f5
𝣶	S1f6
𝣷	S1f7
𝣸	S1f8
𝣹	S1f9
𝣺	S1fa
𝣻	S1fb
𝣼	S1fc
𝣽	S1fd
𝣾	S1fe
𝣿	S1ff
𝤀	S200
𝤁	S201
𝤂	S202
𝤃	S203
𝤄	S204
𝤅	S205
𝤆	S206
𝤇	S207
𝤈	S208
𝤉	S209
𝤊	S20a
𝤋	S20b
𝤌	S20c
𝤍	S20d
𝤎	S20e
𝤏	S20f
𝤐	S210
𝤑	S211
𝤒	S212
𝤓	S213
𝤔	S214
𝤕	S215
𝤖	S216
𝤗	S217
𝤘	S218
𝤙	S219
𝤚	S21a
𝤛	S21b
𝤜	S21c
𝤝	S21d
𝤞	S21e
𝤟	S21f
𝤠	S220
𝤡	S221
𝤢	S222
𝤣	S223
𝤤	S224
𝤥	S225
𝤦	S226
𝤧	S227
𝤨	S228
𝤩	S229
𝤪	S22a
𝤫	S22b
𝤬	S22c
𝤭	S22d
𝤮	S22e
𝤯	S22f
𝤰	S230
𝤱	S231
𝤲	S232
𝤳	S233
𝤴	S234
𝤵	S235
𝤶	S236
𝤷	S237
𝤸	S238
𝤹	S239
𝤺	S23a
𝤻	S23b
𝤼	S23c
𝤽	S23d
𝤾	S23e
𝤿	S23f
𝥀	S240
𝥁	S241
𝥂	S242
𝥃	S243
𝥄	S244
𝥅	S245
𝥆	S246
𝥇	S247
𝥈	S248
𝥉	S249
𝥊	S24a
𝥋	S24b
𝥌	S24c
𝥍	S24d
𝥎	S24e
𝥏	S24f
𝥐	S250
𝥑	S251
𝥒	S252
𝥓	S253
𝥔	S254
𝥕	S255
𝥖	S256
𝥗	S257
𝥘	S258
𝥙	S259
𝥚	S25a
𝥛	S25b
𝥜	S25c
𝥝	S25d
𝥞	S25e
𝥟	S25f
𝥠	S260
𝥡	S261
𝥢	S262
𝥣	S263
𝥤	S264
𝥥	S265
𝥦	S266
𝥧	S267
𝥨	S268
𝥩	S269
𝥪	S26a
𝥫	S26b
𝥬	S26c
𝥭	S26d
𝥮	S26e
𝥯	S26f
𝥰	S270
𝥱	S271
𝥲	S272
𝥳	S273
𝥴	S274
𝥵	S275
𝥶	S276
𝥷	S277
𝥸	S278
𝥹	S279
𝥺	S27a
𝥻	S27b
𝥼	S27c
𝥽	S27d
𝥾	S27e
𝥿	S27f
𝦀	S280
𝦁	S281
𝦂	S282
𝦃	S283
𝦄	S284
𝦅	S285
𝦆	S286
𝦇	S287
𝦈	S288
𝦉	S289
𝦊	S28a
𝦋	S28b
𝦌	S28c
𝦍	S28d
𝦎	S28e
𝦏	S28f
𝦐	S290
𝦑	S291
𝦒	S292
𝦓	S293
𝦔	S294
𝦕	S295
𝦖	S296
𝦗	S297
𝦘	S298
𝦙	S299
𝦚	S29a
𝦛	S29b
𝦜	S29c
𝦝	S29d
𝦞	S29e
𝦟	S29f
𝦠	S2a0
𝦡	S2a1
𝦢	S2a2
𝦣	S2a3
𝦤	S2a4
𝦥	S2a5
𝦦	S2a6
𝦧	S2a7
𝦨	S2a8
𝦩	S2a9
𝦪	S2aa
𝦫	S2ab
𝦬	S2ac
𝦭	S2ad
𝦮	S2ae
𝦯	S2af
𝦰	S2b0
𝦱	S2b1
𝦲	S2b2
𝦳	S2b3
𝦴	S2b4
𝦵	S2b5
𝦶	S2b6
𝦷	S2b7
𝦸	S2b8
𝦹	S2b9
𝦺	S2ba
𝦻	S2bb
𝦼	S2bc
𝦽	S2bd
𝦾	S2be
𝦿	S2bf
𝧀	S2c0
𝧁	S2c1
𝧂	S2c2
𝧃	S2c3
𝧄	S2c4
𝧅	S2c5
𝧆	S2c6
𝧇	S2c7
𝧈	S2c8
𝧉	S2c9
𝧊	S2ca
𝧋	S2cb
𝧌	S2cc
𝧍	S2cd
𝧎	S2ce
𝧏	S2cf
𝧐	S2d0
𝧑	S2d1
𝧒	S2d2
𝧓	S2d3
𝧔	S2d4
𝧕	S2d5
𝧖	S2d6
𝧗	S2d7
𝧘	S2d8
𝧙	S2d9
𝧚	S2da
𝧛	S2db
𝧜	S2dc
𝧝	S2dd
𝧞	S2de
𝧟	S2df
𝧠	S2e0
𝧡	S2e1
𝧢	S2e2
𝧣	S2e3
𝧤	S2e4
𝧥	S2e5
𝧦	S2e6
𝧧	S2e7
𝧨	S2e8
𝧩	S2e9
𝧪	S2ea
𝧫	S2eb
𝧬	S2ec
𝧭	S2ed
𝧮	S2ee
𝧯	S2ef
𝧰	S2f0
𝧱	S2f1
𝧲	S2f2
𝧳	S2f3
𝧴	S2f4
𝧵	S2f5
𝧶	S2f6
