# https://unicode.org/charts/PDF/U0700.pdf
# https://unicode.org/versions/Unicode13.0.0/ch09.pdf
# https://unicode.org/L2/L1998/98050-syriac-proposal.pdf
# The World's Writing Systems 1996
# The Syriac Dot 2019
# 
# bgn/pcgn 2011
## alphabet
ܐ	'
ܒ	b
ܓ	g
ܕ	d
ܗ	h
ܘ	w
ܙ	z
ܚ	h
ܛ	t
ܝ	y
ܟ	k
ܠ	l
ܡ	m
ܢ	n
ܣ	s
ܤ	s
ܥ	`
ܦ	p
ܨ	s
ܩ	q
ܪ	r
ܫ	sh
ܬ	t
## vowels
ܲ	a
ܳ	o
ܴ	u
ܵ	a
ܸ	i
ܹ	e
ܼ	i
# ala-lc 2012
ܰ	a
ܱ	a
ܶ	e
ܷ	e
ܺ	i
ܻ	i
ܽ	u
ܾ	u
ܿ	o
# https://userblogs.fu-berlin.de/saop/files/2017/08/Surayt-Orthography.pdf
ܔ	j
ܜ	d
# https://unicode.org/wg2/docs/n2422.pdf
## Persian letters
ܭ	bh
ܮ	gh
ܯ	dh
## Sogdian letters
ݍ	zh
ݎ	kh
ݏ	ph
# punctuation and signs
܀	*
܁	.
܂	.
܃	!
܄	!
܅	:
܆	:
܇	:
܈	;
܉	?
܊	.
܋	/
܌	\
܍	+
܏	.
# letters
ܑ	'
ܖ	d
ܞ	yh
ܧ	p
# marks
݀	
݁	
݂	h
݃	
݄	
݅	h
݆	h
݇	
݈	
݉	
݊	
