# https://www.unicode.org/charts/PDF/U1A20.pdf
# https://r12a.github.io/scripts/taitham/block
# https://www.unicode.org/L2/L2019/19365-tai-tham-structure.pdf
# knab 2012
#
# consonants
ᨠ	k
ᨡ	kh
ᨢ	kh
ᨣ	k
ᨤ	kh
ᨥ	kh
ᨦ	ng
ᨧ	c
ᨨ	ch
ᨩ	c
ᨪ	s
ᨫ	ch
ᨬ	ny
ᨭ	t
ᨮ	th
ᨯ	d
ᨰ	th
ᨱ	n
ᨲ	t
ᨳ	th
ᨴ	t
ᨵ	th
ᨶ	n
ᨷ	b
ᨸ	p
ᨹ	ph
ᨺ	f
ᨻ	p
ᨼ	f
ᨽ	ph
ᨾ	m
ᨿ	y
ᩀ	y
ᩁ	r
ᩂ	r
ᩃ	l
ᩄ	l
ᩅ	w
ᩆ	s
ᩇ	s
ᩈ	s
ᩉ	h
ᩊ	l
ᩋ	'
ᩌ	h
# independent vowels
ᩍ	i
ᩎ	i
ᩏ	u
ᩐ	u
ᩑ	e
ᩒ	o
# consonants
ᩓ	l
ᩔ	ss
# consonant signs
ᩕ	r
ᩖ	l
ᩗ	lng
ᩘ	ng
ᩙ	ng
ᩚ	p
ᩛ	p
ᩜ	m
ᩝ	b
ᩞ	s
# sign
᩠	
# dependent vowel signs
ᩡ	a
ᩢ	a
ᩣ	a
ᩤ	a
ᩥ	i
ᩦ	i
ᩧ	ue
ᩨ	ue
ᩩ	u
ᩪ	u
ᩫ	o
ᩬ	oa
ᩭ	oy
ᩮ	e
ᩯ	ae
ᩰ	o
ᩱ	ay
ᩲ	ay
ᩳ	oa
ᩴ	ng
# tone marks
᩵	
᩶	
᩷	
᩸	
᩹	
# other marks
᩺	
᩻	-
᩼	
# cryptogrammic mark
᩿	.
# logographs
᪠	+
᪡	+
᪢	+
# punctuation
᪣	*
᪤	*
᪥	*
᪦	#
# sign
ᪧ	-
# punctuation
᪨	,
᪩	.
᪪	|
᪫	||
᪬	#
᪭	*
