# https://www.unicode.org/charts/PDF/U1D300.pdf
𝌀	Ren
𝌁	TianRen
𝌂	DiRen
𝌃	RenTian
𝌄	RenDi
𝌅	RenRen
# https://www.unicode.org/wg2/docs/n2416.pdf
𝌆	Zhong
𝌇	Zhou
𝌈	Xian
𝌉	Xian
𝌊	Shao
𝌋	Li
𝌌	Shang
𝌍	Gan
𝌎	Shu
𝌏	Xian
𝌐	Cha
𝌑	Tong
𝌒	Zeng
𝌓	Rui
𝌔	Da
𝌕	Jiao
𝌖	Ruan
𝌗	Xi
𝌘	Cong
𝌙	Jin
𝌚	Shi
𝌛	Ge
𝌜	Yi
𝌝	Le
𝌞	Zheng
𝌟	Wu
𝌠	Shi
𝌡	Geng
𝌢	Duan
𝌣	Yi
𝌤	Zhuang
𝌥	Zhong
𝌦	Mi
𝌧	Qin
𝌨	Lian
𝌩	Qiang
𝌪	Sui
𝌫	Sheng
𝌬	Ju
𝌭	Fa
𝌮	Ying
𝌯	Ying
𝌰	Yu
𝌱	Zao
𝌲	Da
𝌳	Kuo
𝌴	Wen
𝌵	Li
𝌶	Tao
𝌷	Tang
𝌸	Chang
𝌹	Du
𝌺	Yong
𝌻	Kun
𝌼	Jian
𝌽	Jin
𝌾	Shou
𝌿	Xi
𝍀	Ju
𝍁	Ji
𝍂	Shi
𝍃	Yi
𝍄	Shi
𝍅	Chen
𝍆	Nei
𝍇	Qu
𝍈	Hui
𝍉	Meng
𝍊	Qiong
𝍋	Ge
𝍌	Zhi
𝍍	Jian
𝍎	Cheng
𝍏	Zhi
𝍐	Shi
𝍑	Ju
𝍒	Xun
𝍓	Jiang
𝍔	Nan
𝍕	Qin
𝍖	Yang
